name,date,price,maxp,minp,qty,opnp
ADVANC,2021-05-24,169.5,170.5,169.0,3531527,170.0
ADVANC,2021-05-25,168.5,170.5,168.5,5316360,170.0
ADVANC,2021-05-27,168.0,169.5,168.0,9877867,168.5
ADVANC,2021-05-28,169.0,170.5,169.0,4386457,169.5
ADVANC,2021-05-31,168.5,169.5,168.0,4286047,169.5
ADVANC,2021-06-01,169.5,170.0,168.0,5141687,168.5
ADVANC,2021-06-02,171.0,172.5,169.5,11354066,170.0
ADVANC,2021-06-04,169.5,171.5,169.5,5152518,171.0
ADVANC,2021-06-07,169.5,171.0,169.5,4418396,170.5
ADVANC,2021-06-08,172.5,173.0,170.0,11674226,170.5
ADVANC,2021-06-09,173.5,175.0,173.0,12000872,173.0
ADVANC,2021-06-10,173.5,175.5,173.5,5819351,175.0
ADVANC,2021-06-11,174.5,174.5,173.5,3083403,174.0
ADVANC,2021-06-14,174.5,176.0,174.0,4737177,175.0
ADVANC,2021-06-15,173.5,175.5,173.5,4871890,174.5
ADVANC,2021-06-16,173.5,174.0,173.0,2772669,173.5
ADVANC,2021-06-17,172.5,173.5,172.5,3128069,173.5
ADVANC,2021-06-18,173.5,173.5,172.0,5735798,172.5
ADVANC,2021-06-21,172.0,172.5,171.0,3990973,172.0
ADVANC,2021-06-22,171.5,173.5,171.0,4136004,172.5
ADVANC,2021-06-23,170.5,172.0,170.5,3737835,171.5
ADVANC,2021-06-24,171.5,171.5,170.0,4066553,170.5
ADVANC,2021-06-25,171.5,172.0,170.5,2565006,172.0
ADVANC,2021-06-28,170.0,171.5,170.0,3648881,170.5
ADVANC,2021-06-29,170.5,171.5,169.0,5325987,170.0
ADVANC,2021-06-30,171.0,172.0,171.0,4340013,171.0
ADVANC,2021-07-01,172.5,172.5,170.5,3270742,171.0
ADVANC,2021-07-02,171.5,173.0,171.5,3964135,172.5
ADVANC,2021-07-05,171.0,171.5,170.5,2445987,171.5
ADVANC,2021-07-06,171.5,172.0,170.5,3339683,171.5
ADVANC,2021-07-07,170.5,172.0,170.0,4564805,170.5
ADVANC,2021-07-08,169.0,170.5,169.0,4508923,169.0
ADVANC,2021-07-09,169.5,170.5,169.0,4330538,169.0
ADVANC,2021-07-12,170.0,171.0,169.0,2125876,170.5
