name,date,price,maxp,minp,qty,opnp
CPF,2021-05-24,27.0,27.25,27.0,32246624,27.25
CPF,2021-05-25,27.25,27.25,27.0,16738371,27.25
CPF,2021-05-27,27.5,27.75,27.25,50954065,27.25
CPF,2021-05-28,27.25,27.75,27.0,52107607,27.5
CPF,2021-05-31,27.25,27.25,26.5,53349849,26.75
CPF,2021-06-01,27.25,27.5,27.0,30109746,27.25
CPF,2021-06-02,27.25,27.5,27.25,24317271,27.5
CPF,2021-06-04,27.0,27.5,27.0,34417701,27.25
CPF,2021-06-07,27.0,27.75,26.75,53066131,27.0
CPF,2021-06-08,27.0,27.25,27.0,29869245,27.0
CPF,2021-06-09,27.25,27.25,27.0,8096573,27.0
CPF,2021-06-10,27.25,27.25,27.0,32270600,27.25
CPF,2021-06-11,27.0,27.5,27.0,62237986,27.25
CPF,2021-06-14,27.25,27.5,27.0,48434485,27.25
CPF,2021-06-15,27.5,27.5,27.0,49044277,27.25
CPF,2021-06-16,27.25,27.75,27.0,61149486,27.5
CPF,2021-06-17,27.0,27.25,27.0,27038900,27.25
CPF,2021-06-18,27.0,27.25,27.0,26596492,27.0
CPF,2021-06-21,27.0,27.25,26.75,39763726,27.0
CPF,2021-06-22,27.0,27.25,27.0,12913641,27.0
CPF,2021-06-23,26.75,27.25,26.75,23990081,27.0
CPF,2021-06-24,26.5,26.75,26.5,38335230,26.75
CPF,2021-06-25,26.5,26.75,26.25,42273763,26.5
CPF,2021-06-28,26.25,26.5,26.25,9322087,26.25
CPF,2021-06-29,26.25,26.5,26.25,21993981,26.25
CPF,2021-06-30,26.5,27.0,26.25,36491250,26.5
CPF,2021-07-01,27.0,27.25,26.5,34145213,26.75
CPF,2021-07-02,26.5,27.0,26.5,28372918,27.0
CPF,2021-07-05,26.5,26.75,26.25,28354523,26.5
CPF,2021-07-06,26.25,26.75,26.25,19649908,26.5
CPF,2021-07-07,26.25,26.5,26.0,29378644,26.5
CPF,2021-07-08,25.75,26.25,25.5,53751211,26.0
CPF,2021-07-09,26.25,26.25,25.25,65199093,25.5
