name,date,price,maxp,minp,qty,opnp
JMT,2025-08-06,12.4,12.7,10.9,73179598,10.9
JMT,2025-08-07,12.1,12.6,12.0,37818799,12.3
JMT,2025-08-08,12.0,12.3,11.7,20624722,12.1
JMT,2025-08-13,12.0,12.4,11.8,24463242,12.3
JMT,2025-08-14,11.5,12.0,11.1,49772943,11.5
JMT,2025-08-15,11.5,11.7,11.3,18034528,11.5
JMT,2025-08-18,11.4,11.6,11.2,11150942,11.6
JMT,2025-08-19,11.2,11.8,11.2,19913136,11.4
JMT,2025-08-20,11.5,11.6,11.1,13115190,11.3
JMT,2025-08-21,11.4,11.7,11.3,11446565,11.5
JMT,2025-08-22,11.4,11.5,11.2,8657305,11.5
JMT,2025-08-25,12.2,12.3,11.6,31135734,11.7
JMT,2025-08-26,11.8,12.1,11.7,9887580,11.9
JMT,2025-08-27,11.8,12.2,11.7,9433312,11.8
JMT,2025-08-28,11.9,12.0,11.6,5735498,11.8
JMT,2025-08-29,11.7,12.0,11.6,9717406,11.9
JMT,2025-09-01,11.6,11.8,11.4,9917673,11.6
JMT,2025-09-02,11.7,12.0,11.6,8658231,11.7
JMT,2025-09-03,12.1,12.3,11.6,20768076,11.6
JMT,2025-09-04,11.8,12.4,11.8,22762318,12.3
JMT,2025-09-05,12.2,12.5,11.9,25500622,11.9
JMT,2025-09-08,12.8,12.9,12.3,28132259,12.4
JMT,2025-09-09,13.2,13.2,12.5,17819886,12.8
JMT,2025-09-10,13.0,13.5,12.9,13676498,13.2
JMT,2025-09-11,13.0,13.5,13.0,17787357,13.3
JMT,2025-09-12,13.0,13.2,12.8,11441177,13.2
JMT,2025-09-15,12.8,13.0,12.7,13732952,12.9
JMT,2025-09-16,13.1,13.3,12.7,13611988,12.9
JMT,2025-09-17,12.9,13.2,12.9,7543417,13.1
JMT,2025-09-18,12.7,13.0,12.6,9018128,13.0
JMT,2025-09-19,12.7,13.0,12.6,8531245,12.7
JMT,2025-09-22,12.3,12.8,12.3,6223780,12.7
JMT,2025-09-23,12.0,12.5,12.0,12573527,12.4
JMT,2025-09-24,12.3,12.4,12.0,10524369,12.0
JMT,2025-09-25,12.7,12.8,12.2,10609499,12.4
JMT,2025-09-26,12.5,12.8,12.5,8825108,12.6
JMT,2025-09-29,12.3,12.7,12.1,7513634,12.6
JMT,2025-09-30,11.8,12.5,11.7,10929546,12.4
JMT,2025-10-01,11.3,12.0,11.2,19261771,11.8
JMT,2025-10-02,11.5,11.7,11.5,8118053,11.5
JMT,2025-10-03,11.2,11.7,11.2,9878193,11.5
JMT,2025-10-06,11.2,11.4,10.9,8088788,11.3
JMT,2025-10-07,11.6,11.7,11.2,9910403,11.2
JMT,2025-10-08,11.6,12.0,11.5,12921572,11.6
JMT,2025-10-09,11.5,11.7,11.3,5974702,11.6
JMT,2025-10-10,11.4,11.5,11.3,4206352,11.4
JMT,2025-10-14,10.8,11.5,10.7,12654031,11.4
JMT,2025-10-15,10.9,11.1,10.8,11514001,10.9
JMT,2025-10-16,10.8,11.1,10.8,6054668,10.9
JMT,2025-10-17,10.1,10.8,10.1,20955115,10.7
JMT,2025-10-20,9.95,10.4,9.85,12672507,10.3
JMT,2025-10-21,10.3,10.3,10.0,5883072,10.0
JMT,2025-10-22,10.3,10.5,10.1,5873627,10.2
JMT,2025-10-24,10.0,10.3,10.0,11086141,10.3
JMT,2025-10-27,10.0,10.3,10.0,7490090,10.1
JMT,2025-10-29,9.8,10.2,9.8,7540401,10.0
JMT,2025-10-30,9.65,10.1,9.65,11323670,9.85
JMT,2025-10-31,9.75,9.85,9.65,4181290,9.7
JMT,2025-11-03,9.75,10.2,9.7,12208965,9.8
