name,date,price,maxp,minp,qty,opnp
WHAIR,2025-08-06,5.55,5.55,5.5,897988,5.5
TFFIF,2025-08-06,6.05,6.1,6.0,1609188,6.05
TFFIF,2025-08-07,6.1,6.1,6.0,1394526,6.05
WHAIR,2025-08-07,5.55,5.55,5.45,677506,5.55
TFFIF,2025-08-08,6.05,6.1,6.0,1130108,6.05
WHAIR,2025-08-08,5.5,5.55,5.45,566102,5.55
TFFIF,2025-08-13,6.1,6.15,6.05,2406851,6.05
WHAIR,2025-08-13,5.45,5.5,5.45,962035,5.5
TFFIF,2025-08-14,6.05,6.1,6.0,5180941,6.1
WHAIR,2025-08-14,5.5,5.55,5.45,1343700,5.45
WHAIR,2025-08-15,5.6,5.6,5.5,674101,5.5
TFFIF,2025-08-15,6.1,6.1,6.0,2972580,6.0
WHAIR,2025-08-18,5.4,5.5,5.35,546616,5.45
TFFIF,2025-08-18,6.05,6.1,6.0,3276149,6.1
WHAIR,2025-08-19,5.35,5.45,5.35,226356,5.45
TFFIF,2025-08-19,6.05,6.1,6.05,2164229,6.05
WHAIR,2025-08-20,5.35,5.4,5.35,110204,5.4
TFFIF,2025-08-20,6.1,6.1,6.0,1151438,6.05
TFFIF,2025-08-21,6.05,6.1,6.05,1754207,6.05
WHAIR,2025-08-21,5.35,5.4,5.35,262284,5.4
TFFIF,2025-08-22,6.05,6.05,6.0,1281315,6.05
WHAIR,2025-08-22,5.4,5.4,5.35,283902,5.4
WHAIR,2025-08-25,5.5,5.5,5.4,275470,5.4
TFFIF,2025-08-25,6.05,6.05,6.0,2378648,6.05
WHAIR,2025-08-26,5.55,5.55,5.45,546424,5.5
TFFIF,2025-08-26,6.0,6.05,6.0,5259478,6.05
WHAIR,2025-08-27,5.5,5.6,5.5,338706,5.5
TFFIF,2025-08-27,6.0,6.05,5.95,2107228,6.0
WHAIR,2025-08-28,5.55,5.6,5.5,417336,5.6
TFFIF,2025-08-28,5.95,5.95,5.9,661703,5.9
WHAIR,2025-08-29,5.55,5.55,5.45,931573,5.55
TFFIF,2025-08-29,5.9,5.95,5.85,1539904,5.95
TFFIF,2025-09-01,5.9,5.9,5.85,252642,5.9
WHAIR,2025-09-01,5.55,5.6,5.5,457723,5.55
WHAIR,2025-09-02,5.5,5.55,5.45,189921,5.55
TFFIF,2025-09-02,5.85,5.9,5.8,2047822,5.85
WHAIR,2025-09-03,5.45,5.55,5.45,439497,5.5
TFFIF,2025-09-03,5.85,5.85,5.8,942058,5.85
WHAIR,2025-09-04,5.45,5.5,5.4,550902,5.5
TFFIF,2025-09-04,5.9,5.9,5.8,2723282,5.85
WHAIR,2025-09-05,5.5,5.55,5.45,190311,5.45
TFFIF,2025-09-05,5.9,5.9,5.85,1293221,5.9
WHAIR,2025-09-08,5.5,5.55,5.45,244029,5.5
TFFIF,2025-09-08,5.95,6.0,5.9,2836912,5.9
WHAIR,2025-09-09,5.5,5.6,5.5,649243,5.5
TFFIF,2025-09-09,6.05,6.05,5.95,1668273,6.0
TFFIF,2025-09-10,6.1,6.1,6.0,2929351,6.05
WHAIR,2025-09-10,5.55,5.55,5.5,264234,5.55
TFFIF,2025-09-11,6.1,6.15,6.05,4304848,6.1
WHAIR,2025-09-11,5.55,5.65,5.5,829502,5.6
WHAIR,2025-09-12,5.65,5.7,5.6,1059164,5.6
TFFIF,2025-09-12,6.1,6.1,6.05,4658663,6.05
WHAIR,2025-09-15,5.95,6.05,5.75,1172756,5.75
TFFIF,2025-09-15,6.1,6.1,6.05,2460076,6.1
WHAIR,2025-09-16,6.0,6.0,5.95,1304933,5.95
TFFIF,2025-09-16,6.2,6.25,6.05,7049384,6.05
WHAIR,2025-09-17,6.1,6.1,5.95,686573,6.0
TFFIF,2025-09-17,6.2,6.2,6.15,1664409,6.2
WHAIR,2025-09-18,6.1,6.2,6.0,488503,6.1
TFFIF,2025-09-18,6.15,6.2,6.05,5623549,6.2
TFFIF,2025-09-19,6.1,6.15,6.05,3851937,6.05
WHAIR,2025-09-19,6.1,6.15,6.1,398386,6.1
WHAIR,2025-09-22,5.9,6.15,5.9,1003896,6.15
TFFIF,2025-09-22,6.05,6.1,6.0,3012213,6.05
WHAIR,2025-09-23,5.9,5.95,5.85,428178,5.85
TFFIF,2025-09-23,6.1,6.1,6.0,4411084,6.0
WHAIR,2025-09-24,5.95,6.0,5.9,98481,5.9
TFFIF,2025-09-24,6.15,6.2,6.05,4861047,6.05
WHAIR,2025-09-25,6.0,6.05,5.95,61305,6.0
TFFIF,2025-09-25,6.2,6.2,6.1,2325386,6.2
WHAIR,2025-09-26,6.05,6.1,6.0,57400,6.0
TFFIF,2025-09-26,6.15,6.2,6.1,2339363,6.2
WHAIR,2025-09-29,6.0,6.1,6.0,248802,6.05
TFFIF,2025-09-29,6.15,6.2,6.1,4819485,6.15
WHAIR,2025-09-30,5.95,6.05,5.95,263606,5.95
TFFIF,2025-09-30,6.15,6.2,6.1,5083236,6.15
TFFIF,2025-10-01,6.2,6.2,6.1,2246836,6.15
WHAIR,2025-10-01,5.9,6.0,5.9,457760,5.95
TFFIF,2025-10-02,6.15,6.2,6.1,2075341,6.15
WHAIR,2025-10-02,5.9,6.0,5.9,111700,5.9
WHAIR,2025-10-03,5.95,6.0,5.9,234027,5.95
TFFIF,2025-10-03,6.1,6.15,6.1,1187437,6.15
WHAIR,2025-10-06,6.0,6.0,5.9,256704,5.9
TFFIF,2025-10-06,6.1,6.15,6.1,922938,6.15
WHAIR,2025-10-07,6.0,6.05,5.95,425819,5.95
TFFIF,2025-10-07,6.1,6.15,6.1,2860203,6.1
WHAIR,2025-10-08,6.05,6.05,6.0,429935,6.0
TFFIF,2025-10-08,6.1,6.15,6.05,1558103,6.1
WHAIR,2025-10-09,5.9,6.05,5.9,754616,6.0
TFFIF,2025-10-09,6.1,6.15,6.1,2684880,6.1
TFFIF,2025-10-10,6.1,6.15,6.1,1549832,6.15
WHAIR,2025-10-10,6.0,6.0,5.9,710938,5.95
WHAIR,2025-10-14,5.9,6.0,5.9,673302,5.95
TFFIF,2025-10-14,6.05,6.15,6.05,2331809,6.1
WHAIR,2025-10-15,5.9,6.0,5.9,306509,5.95
TFFIF,2025-10-15,6.1,6.1,6.05,5345929,6.05
