name,year,quarter,q_amt,y_amt,aq_amt,ay_amt,ticker_id,grade,period,shares
3BBIF,2025,4,6429421,3961184,7044205,5279119,234,1,2,120000
ADVANC,2025,4,14281630,9258911,47885902,35075357,6,1,3,100
AWC,2025,4,1866088,1859770,6388002,5850295,699,1,3,9000
BCH,2025,4,259498,233040,1316360,1282371,51,1,3,4000
CPNREIT,2025,4,1484839,357438,3460976,1696069,647,1,2,55000
DIF,2025,4,5589388,-7397987,13855643,656288,140,1,2,45000
NER,2025,4,395108,359321,1884525,1652466,680,1,2,27000
PTT,2025,4,25534645,9311516,90166373,90072026,383,1,2,7500
PTTGC,2025,4,-5501682,-11738129,-14600390,-29810548,385,1,1,6000
SINGER,2025,4,59940,-103465,105084,-42960,446,1,1,6000
SYNEX,2025,4,193273,146914,769786,627721,495,1,3,17500
TFFIF,2025,4,7556167,-1939993,9152556,-458370,686,1,2,25000
TOA,2025,4,844394,450683,2917013,1919604,645,1,3,1000
WHART,2025,4,390358,204671,2349806,1920947,622,1,2,20000
