name,date,price,maxp,minp,qty,opnp
AH,2021-05-24,23.0,24.9,22.7,11491037,24.8
AH,2021-05-25,23.0,23.4,22.8,3181825,23.4
AH,2021-05-27,23.3,23.6,23.2,1989655,23.2
AH,2021-05-28,23.4,23.7,23.3,1411201,23.4
AH,2021-05-31,22.9,23.2,22.7,2550334,23.1
AH,2021-06-01,23.0,23.5,22.9,3073489,23.0
AH,2021-06-02,22.9,23.2,22.7,3373592,23.0
AH,2021-06-04,23.0,23.2,22.8,2368678,22.9
AH,2021-06-07,24.2,24.2,22.9,5981150,23.0
AH,2021-06-08,24.3,24.5,23.9,3365111,24.2
AH,2021-06-09,24.0,24.5,23.9,1918681,24.4
AH,2021-06-10,23.7,24.1,23.4,2773929,24.0
AH,2021-06-11,23.5,23.8,23.4,1223305,23.6
AH,2021-06-14,23.1,23.5,22.9,1647214,23.4
AH,2021-06-15,23.6,23.6,22.9,1500636,23.0
AH,2021-06-16,23.3,23.5,22.9,1788324,23.4
AH,2021-06-17,23.3,23.4,23.0,1605911,23.1
AH,2021-06-18,23.0,23.5,22.8,2449505,23.1
AH,2021-06-21,22.2,23.0,22.1,3576545,22.2
AH,2021-06-22,22.4,22.5,22.2,1219778,22.3
AH,2021-06-23,21.6,22.5,21.6,1912583,22.4
AH,2021-06-24,22.9,22.9,21.4,5942031,21.9
AH,2021-06-25,23.0,23.6,22.6,7762922,23.2
AH,2021-06-28,22.8,22.9,22.4,1163955,22.9
AH,2021-06-29,22.6,23.0,22.5,790270,22.8
AH,2021-06-30,22.5,22.9,22.4,836207,22.9
AH,2021-07-01,22.6,22.9,22.5,993616,22.6
AH,2021-07-02,22.2,22.7,22.0,1117234,22.6
AH,2021-07-05,21.8,22.2,21.8,788962,22.1
AH,2021-07-06,21.7,22.2,21.7,1415120,21.9
AH,2021-07-07,20.6,21.7,20.6,3668336,21.7
AH,2021-07-08,21.0,21.0,19.8,5078147,20.3
AH,2021-07-09,21.1,21.7,20.9,2065751,20.9
AH,2021-07-12,21.2,21.5,21.0,1394422,21.1
AH,2021-07-13,22.5,22.5,21.2,3811554,21.3
AH,2021-07-14,23.1,23.3,22.7,7019989,22.8
AH,2021-07-15,23.1,23.5,23.1,2555217,23.4
AH,2021-07-16,22.9,23.2,22.6,1494635,23.1
AH,2021-07-19,22.6,22.8,22.4,1220821,22.5
AH,2021-07-20,21.7,22.4,21.6,2555161,22.3
AH,2021-07-21,21.5,22.0,21.3,1692625,21.8
AH,2021-07-22,21.8,22.0,21.5,962948,21.7
AH,2021-07-23,22.1,22.7,21.9,3498789,22.0
AH,2021-07-27,21.9,22.4,21.7,1517490,22.3
AH,2021-07-29,21.4,21.9,21.3,1235601,21.8
AH,2021-07-30,21.0,21.5,20.6,2448717,21.5
AH,2021-08-02,21.4,21.5,20.7,1070401,21.0
AH,2021-08-03,22.0,22.3,21.3,2490826,21.3
AH,2021-08-04,24.1,24.2,21.9,9795985,22.1
AH,2021-08-05,23.9,24.2,23.6,4354166,23.8
AH,2021-08-06,24.7,25.25,23.9,8553512,24.2
AH,2021-08-09,24.9,25.25,24.3,3224635,24.7
AH,2021-08-10,24.9,25.25,24.6,3085656,25.0
AH,2021-08-11,25.5,26.0,24.9,3650983,25.0
AH,2021-08-13,23.1,25.75,22.6,8666812,25.75
AH,2021-08-16,23.5,23.8,22.7,1770208,22.9
AH,2021-08-17,22.8,23.4,22.7,2265626,23.3
AH,2021-08-18,21.9,23.1,21.8,7136437,23.1
AH,2021-08-19,22.1,22.5,21.9,1905828,21.9
AH,2021-08-20,21.9,22.4,21.7,2969328,22.2
AH,2021-08-23,21.9,22.4,21.8,2790100,22.1
AH,2021-08-24,22.9,22.9,21.8,4371699,21.9
AH,2021-08-25,23.0,23.2,22.7,3115516,23.1
AH,2021-08-26,23.0,23.1,22.8,2169152,23.1
AH,2021-08-27,22.9,23.2,22.8,3050662,23.0
AH,2021-08-30,22.8,22.8,22.5,1778342,22.5
AH,2021-08-31,22.4,22.8,22.2,2812532,22.8
AH,2021-09-01,21.4,22.5,21.3,8927075,22.3
AH,2021-09-02,21.6,21.7,21.3,2082889,21.6
AH,2021-09-03,21.9,22.1,21.5,1690895,21.6
AH,2021-09-06,21.6,22.0,21.5,1631846,22.0
AH,2021-09-07,21.2,21.8,21.2,2155126,21.6
AH,2021-09-08,21.4,21.5,20.8,1750989,21.2
AH,2021-09-09,21.1,21.4,21.1,1380916,21.4
AH,2021-09-10,21.3,21.4,20.9,2081640,21.2
AH,2021-09-13,20.9,21.3,20.6,3613469,21.3
AH,2021-09-14,20.9,21.2,20.9,889837,21.1
AH,2021-09-15,21.1,21.3,20.9,1216142,21.0
AH,2021-09-16,21.1,21.2,21.0,1083732,21.1
AH,2021-09-17,21.4,21.4,21.0,1394933,21.3
AH,2021-09-20,21.1,21.7,21.1,2605219,21.4
AH,2021-09-21,21.2,21.2,20.9,790388,21.1
AH,2021-09-22,21.2,21.4,21.0,995735,21.1
AH,2021-09-23,20.9,21.3,20.5,3018714,21.3
