name,date,price,maxp,minp,qty,opnp
MCS,2021-05-24,14.1,14.2,13.8,2421995,13.8
MCS,2021-05-25,14.2,14.4,14.1,1738800,14.3
MCS,2021-05-27,14.1,14.2,14.1,1377108,14.2
MCS,2021-05-28,14.2,14.2,14.1,1378789,14.1
MCS,2021-05-31,14.4,14.5,14.2,5939434,14.3
MCS,2021-06-01,14.4,14.6,14.3,5497761,14.4
MCS,2021-06-02,14.4,14.6,14.2,5729685,14.4
MCS,2021-06-04,15.0,15.0,14.5,20461352,14.6
MCS,2021-06-07,14.9,15.2,14.9,14118899,15.2
MCS,2021-06-08,14.9,15.1,14.8,6158985,15.1
MCS,2021-06-09,14.8,15.0,14.7,5914048,15.0
MCS,2021-06-10,14.6,14.8,14.6,5003787,14.7
MCS,2021-06-11,14.6,14.7,14.5,2999969,14.6
MCS,2021-06-14,14.5,14.6,14.4,2726791,14.6
MCS,2021-06-15,14.3,14.6,14.3,2545876,14.5
MCS,2021-06-16,14.3,14.4,14.2,1665215,14.3
MCS,2021-06-17,14.3,14.5,14.2,3127710,14.2
MCS,2021-06-18,14.4,14.4,14.2,1233987,14.3
MCS,2021-06-21,14.2,14.3,14.2,1417819,14.3
MCS,2021-06-22,14.2,14.4,14.2,1481629,14.3
MCS,2021-06-23,14.1,14.3,14.0,2485736,14.3
MCS,2021-06-24,14.0,14.1,14.0,2690498,14.1
MCS,2021-06-25,14.2,14.2,14.1,833097,14.1
MCS,2021-06-28,14.1,14.2,14.0,782261,14.0
MCS,2021-06-29,14.3,14.3,14.1,1457632,14.2
MCS,2021-06-30,14.3,14.4,14.2,1902129,14.4
MCS,2021-07-01,14.4,14.5,14.3,1087039,14.4
MCS,2021-07-02,14.3,14.6,14.3,2583095,14.5
MCS,2021-07-05,14.6,14.6,14.3,1871090,14.4
MCS,2021-07-06,14.4,14.6,14.3,3208488,14.6
MCS,2021-07-07,14.4,14.5,14.3,1284610,14.5
MCS,2021-07-08,13.9,14.3,13.8,4382341,14.2
MCS,2021-07-09,14.1,14.1,13.8,1755103,14.0
MCS,2021-07-12,13.9,14.2,13.9,2126953,14.2
MCS,2021-07-13,14.0,14.0,13.9,1652516,13.9
MCS,2021-07-14,14.1,14.1,13.9,1037374,14.0
MCS,2021-07-15,14.4,14.4,14.1,4830776,14.2
MCS,2021-07-16,14.8,14.8,14.5,9013177,14.7
MCS,2021-07-19,14.5,14.8,14.5,3978176,14.6
MCS,2021-07-20,14.6,15.0,14.5,12227915,14.6
MCS,2021-07-21,14.8,14.8,14.6,3240754,14.7
MCS,2021-07-22,14.9,15.2,14.8,13996979,14.9
MCS,2021-07-23,14.9,15.1,14.8,7574433,14.9
MCS,2021-07-27,14.7,15.0,14.7,4332698,15.0
MCS,2021-07-29,14.7,14.8,14.6,2481210,14.7
MCS,2021-07-30,14.4,14.7,14.3,4798916,14.7
MCS,2021-08-02,14.7,14.7,14.3,2007059,14.4
MCS,2021-08-03,15.2,15.2,14.7,21520811,14.7
MCS,2021-08-04,15.4,15.5,15.0,14353698,15.2
MCS,2021-08-05,15.2,15.6,15.2,7365134,15.4
MCS,2021-08-06,15.3,15.4,15.0,6684274,15.3
MCS,2021-08-09,15.8,16.0,15.4,12708501,15.5
MCS,2021-08-10,15.7,16.0,15.6,4673808,15.9
MCS,2021-08-11,15.7,16.2,15.6,18565430,15.9
MCS,2021-08-13,14.8,15.7,14.7,21901876,15.7
MCS,2021-08-16,15.3,15.4,14.9,7855372,15.1
MCS,2021-08-17,14.9,15.4,14.7,8628386,15.3
MCS,2021-08-18,14.9,14.9,14.7,3599080,14.9
MCS,2021-08-19,14.9,15.0,14.8,2209862,14.8
MCS,2021-08-20,15.0,15.1,14.8,3567352,14.8
MCS,2021-08-23,14.8,15.0,14.8,4655103,15.0
MCS,2021-08-24,14.9,15.0,14.8,2773729,14.9
MCS,2021-08-25,14.9,15.0,14.8,2432080,14.9
MCS,2021-08-26,15.0,15.0,14.8,2312900,14.8
MCS,2021-08-27,15.2,15.3,15.0,4766381,15.0
MCS,2021-08-30,15.3,15.3,15.1,2579181,15.3
MCS,2021-08-31,15.2,15.3,15.1,2768971,15.3
MCS,2021-09-01,15.0,15.2,14.9,3286002,15.2
MCS,2021-09-02,15.0,15.1,14.9,6125184,15.0
MCS,2021-09-03,14.6,14.7,14.5,3504889,14.5
MCS,2021-09-06,14.6,14.7,14.5,2779249,14.6
MCS,2021-09-07,14.4,14.7,14.4,1991918,14.6
MCS,2021-09-08,14.5,14.6,14.3,1893033,14.4
MCS,2021-09-09,14.4,14.6,14.4,956496,14.5
MCS,2021-09-10,14.3,14.5,14.3,2015204,14.4
MCS,2021-09-13,14.4,14.4,14.3,939529,14.3
MCS,2021-09-14,14.4,14.5,14.3,1913381,14.4
MCS,2021-09-15,14.7,14.7,14.4,3155047,14.5
MCS,2021-09-16,14.6,14.8,14.5,2642333,14.7
MCS,2021-09-17,14.7,14.8,14.5,2870732,14.8
MCS,2021-09-20,14.5,14.7,14.4,3535756,14.7
MCS,2021-09-21,14.4,14.5,14.3,2754785,14.4
MCS,2021-09-22,14.5,14.6,14.4,1226880,14.4
MCS,2021-09-23,14.5,14.6,14.4,1469930,14.5
MCS,2021-09-27,14.3,14.7,14.3,4222475,14.5
MCS,2021-09-28,14.5,14.6,14.3,2964901,14.4
MCS,2021-09-29,14.4,14.6,14.3,2566738,14.5
MCS,2021-09-30,14.4,14.5,14.3,1766855,14.5
MCS,2021-10-01,14.4,14.5,14.4,1109287,14.5
MCS,2021-10-04,14.4,14.5,14.4,534924,14.5
MCS,2021-10-05,14.5,14.5,14.4,962954,14.4
MCS,2021-10-06,14.5,14.5,14.4,1327598,14.5
MCS,2021-10-07,14.4,14.5,14.4,1581656,14.5
MCS,2021-10-08,14.4,14.5,14.3,2822581,14.4
MCS,2021-10-11,14.5,14.5,14.3,1152007,14.4
MCS,2021-10-12,14.3,14.5,14.3,1465297,14.4
MCS,2021-10-14,14.3,14.4,14.3,1404920,14.3
MCS,2021-10-15,14.3,14.4,14.2,1894293,14.3
MCS,2021-10-18,14.3,14.5,14.2,1996500,14.4
MCS,2021-10-19,14.3,14.4,14.3,992885,14.3
MCS,2021-10-20,14.3,14.4,14.3,545590,14.4
MCS,2021-10-21,14.6,14.6,14.3,3641254,14.4
MCS,2021-10-25,14.6,14.7,14.5,1483462,14.6
MCS,2021-10-26,14.6,14.7,14.5,2250425,14.7
MCS,2021-10-27,14.6,14.7,14.5,1494044,14.6
MCS,2021-10-28,14.5,14.7,14.5,1483197,14.6
MCS,2021-10-29,14.5,14.7,14.5,1698315,14.5
MCS,2021-11-01,14.4,14.6,14.3,1730016,14.6
MCS,2021-11-02,14.5,14.5,14.3,972867,14.4
MCS,2021-11-03,14.3,14.5,14.3,2112357,14.5
MCS,2021-11-04,14.5,14.5,14.3,434965,14.3
MCS,2021-11-05,14.4,14.5,14.3,767963,14.5
MCS,2021-11-08,14.4,14.5,14.3,607089,14.4
MCS,2021-11-09,14.4,14.4,14.3,800714,14.4
MCS,2021-11-10,14.4,14.4,14.3,624349,14.4
MCS,2021-11-11,14.4,14.5,14.2,2069213,14.4
MCS,2021-11-12,14.8,14.8,14.4,4404098,14.4
MCS,2021-11-15,14.9,15.2,14.9,7604079,15.1
MCS,2021-11-16,14.9,15.0,14.9,1494511,15.0
MCS,2021-11-17,14.9,15.0,14.8,2340574,15.0
MCS,2021-11-18,15.1,15.2,14.9,3577762,14.9
MCS,2021-11-19,15.0,15.1,14.9,1387492,15.1
MCS,2021-11-22,14.9,15.1,14.8,1813160,15.0
MCS,2021-11-23,14.8,14.9,14.8,1337527,14.9
MCS,2021-11-24,14.9,15.0,14.8,3884258,14.8
MCS,2021-11-25,14.5,14.7,14.4,2988754,14.6
MCS,2021-11-26,14.4,14.6,14.3,2874535,14.5
MCS,2021-11-29,14.4,14.6,14.3,1694461,14.4
MCS,2021-11-30,14.3,14.6,14.3,2235133,14.4
MCS,2021-12-01,14.5,14.5,14.2,1676328,14.3
MCS,2021-12-02,14.5,14.6,14.3,1048845,14.4
MCS,2021-12-03,14.5,14.6,14.5,1072869,14.5
MCS,2021-12-07,14.4,14.6,14.4,1168108,14.5
MCS,2021-12-08,14.4,14.6,14.4,1378984,14.5
MCS,2021-12-09,14.5,14.6,14.4,1043949,14.5
MCS,2021-12-13,14.4,14.6,14.4,3059063,14.5
MCS,2021-12-14,14.4,14.5,14.4,950413,14.5
MCS,2021-12-15,14.5,14.5,14.3,1207063,14.4
MCS,2021-12-16,14.4,14.5,14.4,1328697,14.5
MCS,2021-12-17,14.7,14.8,14.4,7291753,14.5
MCS,2021-12-20,14.5,14.8,14.5,2632025,14.7
MCS,2021-12-21,14.5,14.6,14.5,1348152,14.6
MCS,2021-12-22,14.5,14.6,14.4,1366677,14.5
MCS,2021-12-23,14.6,14.6,14.5,613259,14.6
MCS,2021-12-24,14.6,14.6,14.5,437599,14.6
MCS,2021-12-27,14.5,14.7,14.4,3420083,14.7
MCS,2021-12-28,14.8,14.9,14.6,6949930,14.6
MCS,2021-12-29,14.8,14.8,14.6,2743214,14.8
MCS,2021-12-30,14.8,14.8,14.7,1787586,14.8
MCS,2022-01-04,14.8,14.8,14.7,1212590,14.8
MCS,2022-01-05,14.9,15.2,14.8,8274814,14.8
MCS,2022-01-06,14.8,15.0,14.8,2067699,15.0
MCS,2022-01-07,14.8,15.0,14.8,1617867,14.8
MCS,2022-01-10,15.0,15.1,14.9,4705196,14.9
MCS,2022-01-11,15.0,15.1,14.9,801209,15.1
MCS,2022-01-12,14.9,15.1,14.9,940380,15.0
MCS,2022-01-13,14.9,15.0,14.8,1763260,14.9
MCS,2022-01-14,14.9,14.9,14.8,1067094,14.9
MCS,2022-01-17,14.9,14.9,14.8,686231,14.9
MCS,2022-01-18,14.6,14.9,14.6,4295093,14.9
MCS,2022-01-19,14.5,14.7,14.4,2244821,14.6
MCS,2022-01-20,14.7,14.7,14.5,1138951,14.5
MCS,2022-01-21,14.6,14.6,14.4,1661617,14.6
MCS,2022-01-24,14.6,14.6,14.5,762492,14.6
MCS,2022-01-25,14.5,14.6,14.4,1486237,14.5
MCS,2022-01-26,14.6,14.6,14.5,573288,14.6
MCS,2022-01-27,14.6,14.7,14.4,1649308,14.6
MCS,2022-01-28,14.6,14.7,14.5,366503,14.6
MCS,2022-01-31,14.5,14.7,14.5,818148,14.7
MCS,2022-02-01,14.6,14.7,14.6,259671,14.6
MCS,2022-02-02,14.7,14.7,14.5,533722,14.6
MCS,2022-02-03,14.7,14.8,14.6,656858,14.7
MCS,2022-02-04,14.7,14.8,14.6,1020434,14.7
MCS,2022-02-07,14.7,14.8,14.6,1428385,14.7
MCS,2022-02-08,14.7,14.8,14.7,426415,14.7
MCS,2022-02-09,14.6,14.8,14.6,1299079,14.7
MCS,2022-02-10,14.7,14.8,14.6,1762381,14.8
MCS,2022-02-11,14.6,14.8,14.6,984970,14.7
MCS,2022-02-14,14.6,14.7,14.5,2838186,14.6
MCS,2022-02-15,14.6,14.7,14.5,1423980,14.6
MCS,2022-02-17,14.6,14.7,14.5,1705992,14.6
MCS,2022-02-18,14.6,14.7,14.5,1351790,14.6
MCS,2022-02-21,14.6,14.8,14.6,1395368,14.6
MCS,2022-02-22,14.7,14.7,14.5,1731756,14.6
MCS,2022-02-23,14.7,14.7,14.6,611615,14.7
MCS,2022-02-24,14.5,14.7,14.4,4432987,14.7
MCS,2022-02-25,14.6,14.7,14.5,753590,14.6
MCS,2022-02-28,14.8,15.0,14.6,5921144,14.7
MCS,2022-03-01,14.7,15.0,14.7,2617603,14.9
MCS,2022-03-02,14.6,14.8,14.5,3303371,14.8
MCS,2022-03-03,14.7,14.9,14.6,2211691,14.7
MCS,2022-03-04,14.6,14.8,14.5,4764489,14.7
MCS,2022-03-07,14.5,14.6,14.3,4732289,14.6
MCS,2022-03-08,14.4,14.6,14.2,5689179,14.5
MCS,2022-03-09,14.6,14.6,14.3,2482694,14.4
MCS,2022-03-10,14.7,14.8,14.5,3168913,14.6
MCS,2022-03-11,14.7,14.7,14.5,2343201,14.6
MCS,2022-03-14,14.8,14.8,14.6,3772427,14.6
MCS,2022-03-15,14.2,14.3,14.1,3772607,14.2
MCS,2022-03-16,14.2,14.3,14.1,3222670,14.2
MCS,2022-03-17,14.2,14.3,14.1,1832428,14.2
MCS,2022-03-18,14.1,14.2,14.0,4315812,14.2
MCS,2022-03-21,13.7,14.1,13.7,6676459,14.1
MCS,2022-03-22,13.7,13.8,13.5,5861423,13.7
MCS,2022-03-23,13.7,13.9,13.7,1478669,13.9
MCS,2022-03-24,13.8,14.0,13.7,2983263,13.7
MCS,2022-03-25,13.9,14.0,13.8,1507950,13.8
MCS,2022-03-28,13.9,14.0,13.8,988526,14.0
MCS,2022-03-29,13.8,13.9,13.8,1275331,13.9
MCS,2022-03-30,13.8,13.9,13.6,2381563,13.8
