name,date,price,maxp,minp,qty,opnp
PTT,2021-05-24,38.25,39.0,38.0,53412181,38.5
PTT,2021-05-25,38.75,39.0,38.5,47614198,38.75
PTT,2021-05-27,38.75,39.25,38.5,201223604,39.0
PTT,2021-05-28,39.25,39.5,39.0,47161623,39.25
PTT,2021-05-31,39.5,39.5,39.0,32715042,39.25
PTT,2021-06-01,41.5,41.5,40.0,139661807,40.0
PTT,2021-06-02,41.5,42.0,41.25,90457052,41.75
PTT,2021-06-04,41.25,41.75,41.0,76913775,41.25
PTT,2021-06-07,41.25,41.75,41.0,68117325,41.5
PTT,2021-06-08,40.5,41.5,40.5,49614509,41.25
PTT,2021-06-09,40.75,41.25,40.75,36057419,40.75
PTT,2021-06-10,40.75,41.0,40.5,28609413,40.75
PTT,2021-06-11,41.5,41.5,40.75,38915450,41.0
PTT,2021-06-14,41.5,41.75,41.25,26198518,41.75
PTT,2021-06-15,40.75,41.5,40.75,55960567,41.25
PTT,2021-06-16,41.25,42.0,40.75,117522670,41.0
PTT,2021-06-17,41.0,41.75,41.0,36772077,41.25
PTT,2021-06-18,40.0,41.25,40.0,123172039,41.0
PTT,2021-06-21,39.75,40.0,39.5,71819485,39.75
PTT,2021-06-22,40.0,40.75,40.0,50362522,40.0
PTT,2021-06-23,40.0,40.5,40.0,31247187,40.25
PTT,2021-06-24,40.0,40.25,39.5,43230359,40.0
PTT,2021-06-25,39.75,40.5,39.75,41174802,40.0
PTT,2021-06-28,39.75,40.0,39.5,30822458,39.75
PTT,2021-06-29,39.5,40.0,39.5,38742356,39.75
PTT,2021-06-30,39.25,39.75,39.25,41132262,39.5
PTT,2021-07-01,39.0,39.5,39.0,57680277,39.25
PTT,2021-07-02,38.75,39.5,38.5,102343375,39.25
PTT,2021-07-05,39.0,39.25,38.5,37410492,38.75
PTT,2021-07-06,39.0,39.5,39.0,20714821,39.25
PTT,2021-07-07,38.75,39.25,38.75,32602717,39.0
PTT,2021-07-08,37.25,38.75,37.0,127588891,38.5
PTT,2021-07-09,37.25,38.0,37.0,57773178,37.25
PTT,2021-07-12,37.0,37.75,37.0,52288421,37.5
PTT,2021-07-13,37.75,38.0,37.0,44038620,37.0
PTT,2021-07-14,37.5,38.0,37.25,43937016,37.75
PTT,2021-07-15,37.25,37.75,37.0,80655842,37.75
PTT,2021-07-16,37.5,37.5,37.0,25785079,37.25
PTT,2021-07-19,36.5,37.25,36.5,67511540,37.0
PTT,2021-07-20,35.75,36.5,35.5,139151763,36.25
PTT,2021-07-21,36.0,36.25,35.5,72076906,35.75
PTT,2021-07-22,36.25,36.5,36.0,25619504,36.25
PTT,2021-07-23,35.75,36.25,35.5,41666828,36.0
PTT,2021-07-27,35.5,36.0,35.25,38869221,35.75
PTT,2021-07-29,35.5,35.75,35.0,58577625,35.5
PTT,2021-07-30,34.75,35.25,34.5,81591748,35.0
PTT,2021-08-02,35.0,35.0,34.25,67639375,34.75
PTT,2021-08-03,35.25,35.5,34.75,42051053,35.0
PTT,2021-08-04,35.0,35.5,35.0,52590795,35.25
PTT,2021-08-05,34.5,35.0,34.5,63576487,34.75
PTT,2021-08-06,34.5,34.75,34.0,69871363,34.5
PTT,2021-08-09,34.5,34.75,34.25,51695254,34.75
PTT,2021-08-10,34.75,35.25,34.5,80605368,34.75
PTT,2021-08-11,34.5,35.0,34.25,81847022,35.0
PTT,2021-08-13,35.0,35.25,34.25,74501870,34.75
