name,date,price,change,%change,open,high,low,volume,value(m)
ACE,2026-08-14,1.32,-0.01,-0.75188,1.34,1.34,1.32,1738834,2304.8555
ADVANC,2026-08-14,371.0,1.0,0.27027,372.0,373.0,370.0,3319757,1233434.624
AEONTS,2026-08-14,100.5,-1.0,-0.985222,101.5,102.5,99.5,694723,69852.3785
AH,2026-08-14,16.1,-0.4,-2.424242,16.8,16.8,16.0,423967,6856.9197
AIE,2026-08-14,1.7,-0.03,-1.734104,1.69,1.76,1.67,18869513,32219.37755
AIMIRT,2026-08-14,12.4,-0.2,-1.587302,12.6,12.6,12.4,1101503,13787.216699999999
AIT,2026-08-14,4.96,-0.02,-0.401606,4.98,4.98,4.92,1483940,7345.11284
AMATA,2026-08-14,31.25,2.75,9.649123,29.75,32.25,29.75,31135380,972939.9045
ANAN,2026-08-14,0.31,-0.02,-6.060606,0.32,0.32,0.3,10668816,3326.8440699999996
AOT,2026-08-14,65.0,1.5,2.362205,64.25,65.0,63.75,66456922,4290728.68775
AP,2026-08-14,8.35,-0.05,-0.595238,8.4,8.4,8.15,11383180,94021.64275
ASIAN,2026-08-14,7.4,0.05,0.680272,7.4,7.4,7.3,717911,5259.4664
ASK,2026-08-14,10.9,-0.5,-4.385965,11.3,11.5,10.8,2038312,22497.289399999998
ASP,2026-08-14,2.36,-0.02,-0.840336,2.38,2.38,2.34,1519494,3582.2454199999997
ASW,2026-08-14,7.9,-0.05,-0.628931,7.95,7.95,7.75,240755,1884.49815
AWC,2026-08-14,3.02,-0.04,-1.30719,3.06,3.12,2.98,124045039,378574.81012
BA,2026-08-14,19.4,-0.3,-1.522843,19.7,19.8,19.4,6675831,130534.9861
BAM,2026-08-14,6.45,-0.2,-3.007519,6.6,6.65,6.4,21276566,137789.55275
BBL,2026-08-14,189.5,-2.0,-1.044386,191.0,192.5,189.0,7973575,1517269.0245
BCH,2026-08-14,11.0,0.1,0.917431,11.0,11.2,10.9,13435382,148205.58190000002
BCP,2026-08-14,49.5,-0.25,-0.502513,49.75,50.25,48.5,16470694,813325.7315
BCPG,2026-08-14,7.0,-0.1,-1.408451,7.1,7.1,7.0,4280236,30124.229600000002
BDMS,2026-08-14,19.5,-0.1,-0.510204,19.6,19.9,19.4,70861962,1390022.6695
BEC,2026-08-14,2.1,0.0,0.0,2.12,2.12,2.08,454921,950.01468
BEM,2026-08-14,7.0,0.05,0.719424,6.95,7.05,6.8,48204474,333201.1252
BGRIM,2026-08-14,17.7,-0.2,-1.117318,18.2,18.2,17.7,17563899,315813.01560000004
