name,date,price,high,low,volume,open
ACE,2026-03-05,1.27,1.29,1.27,1165117,1.28
ADVANC,2026-03-05,360.0,367.0,352.0,9831591,365.0
AEONTS,2026-03-05,90.0,92.0,88.75,1003644,92.0
AH,2026-03-05,14.3,14.8,14.0,179432,14.0
AIE,2026-03-05,1.0,1.02,0.97,739323,0.97
AIMIRT,2026-03-05,10.9,11.0,10.8,770531,10.8
AIT,2026-03-05,4.88,4.9,4.82,970164,4.86
AMATA,2026-03-05,18.5,18.9,18.1,31340771,18.7
ANAN,2026-03-05,0.38,0.39,0.37,1848005,0.38
AOT,2026-03-05,51.0,51.0,49.5,76213217,50.5
AP,2026-03-05,8.6,8.65,8.15,25254146,8.4
ASIAN,2026-03-05,7.1,7.15,7.0,625051,7.05
ASK,2026-03-05,8.85,9.0,8.55,259938,9.0
ASW,2026-03-05,7.75,8.0,7.65,842381,7.75
AWC,2026-03-05,2.08,2.16,2.02,130485973,2.16
BA,2026-03-05,14.5,15.4,14.1,19056893,15.3
BAM,2026-03-05,7.05,7.2,6.9,34467714,7.15
BANPU,2026-03-05,6.2,6.35,5.85,425073560,5.95
BBL,2026-03-05,168.0,171.5,167.5,27654970,171.5
BCH,2026-03-05,9.75,10.0,9.65,15917321,10.0
BCP,2026-03-05,36.0,36.0,34.0,8873021,35.0
BCPG,2026-03-05,7.1,7.3,6.9,9182740,7.3
BDMS,2026-03-05,19.4,20.0,19.1,155155303,20.0
BEC,2026-03-05,1.95,1.97,1.92,1825689,1.95
BEM,2026-03-05,5.7,5.7,5.45,67954398,5.7
BGRIM,2026-03-05,11.7,12.5,11.4,52478315,12.4
BH,2026-03-05,176.5,183.0,172.5,10517274,180.0
BJC,2026-03-05,13.9,14.2,13.4,18561931,14.1
BLA,2026-03-05,19.7,20.0,19.4,1628220,19.8
BLAND,2026-03-05,0.43,0.44,0.42,8921683,0.44
BPP,2026-03-05,12.5,12.5,11.9,782357,12.1
BTS,2026-03-05,2.1,2.16,2.04,107356726,2.12
BTSGIF,2026-03-05,2.52,2.54,2.5,3159300,2.52
CBG,2026-03-05,37.0,39.75,36.25,8765633,39.5
CENTEL,2026-03-05,35.5,35.75,34.0,8066900,35.75
CHG,2026-03-05,1.5,1.53,1.46,24014896,1.51
CK,2026-03-05,16.5,16.5,15.8,14193426,16.0
CKP,2026-03-05,2.3,2.36,2.28,6909003,2.34
COM7,2026-03-05,22.9,23.0,22.4,22843092,22.6
CPALL,2026-03-05,49.0,50.25,48.0,53456124,50.0
CPF,2026-03-05,19.0,19.6,18.8,57541192,19.6
CPN,2026-03-05,65.0,66.75,63.25,22271131,66.25
CPNCG,2026-03-05,6.2,6.25,6.1,613368,6.1
CPNREIT,2026-03-05,11.5,11.7,11.5,2637027,11.5
CRC,2026-03-05,18.5,19.0,17.8,26083116,19.0
DELTA,2026-03-05,258.0,265.0,248.0,33027614,253.0
DIF,2026-03-05,9.35,9.4,9.35,9283992,9.35
DOHOME,2026-03-05,3.4,3.44,3.26,29358724,3.44
EA,2026-03-05,2.66,2.72,2.56,78356834,2.62
EASTW,2026-03-05,2.44,2.58,2.4,1119517,2.52
EGATIF,2026-03-05,6.1,6.1,6.05,429830,6.1
EGCO,2026-03-05,113.5,114.0,111.0,1641975,114.0
EPG,2026-03-05,3.34,3.46,3.26,6853135,3.44
FORTH,2026-03-05,7.5,7.5,7.05,2559444,7.4
FPT,2026-03-05,6.3,6.4,6.1,4000,6.1
FTREIT,2026-03-05,11.0,11.1,10.8,3805629,11.0
GFPT,2026-03-05,9.05,9.05,8.85,2909047,9.0
GLOBAL,2026-03-05,6.85,7.15,6.65,13821725,7.1
GPSC,2026-03-05,34.25,36.75,32.75,28940757,36.5
GUNKUL,2026-03-05,2.2,2.32,2.14,56429187,2.32
GVREIT,2026-03-05,6.4,6.5,6.35,207691,6.45
HANA,2026-03-05,19.1,19.1,17.5,67169667,18.0
HFT,2026-03-05,4.14,4.18,4.1,2894100,4.1
