,name,shares,unit_cost,cost_amt,mkt_price,market_amt,dividend,div_amt,cost_pct,mkt_pct,profit,pft_pct,period
0,AH,1200,37.0,44400.0,12.6,15120.0,0.79,948.0,2.14,6.27,-29280.0,-65.95,1
2,AWC,9000,4.96,44640.0,2.12,19080.0,0.075,675.0,1.51,3.54,-25560.0,-57.26,1
10,JMART,6800,33.0,224400.0,6.9,46920.0,0.6,4080.0,1.82,8.7,-177480.0,-79.09,1
11,JMT,7000,37.7,263900.0,8.75,61250.0,0.52,3640.0,1.38,5.94,-202650.0,-76.79,1
25,TOA,1000,26.0,26000.0,13.6,13600.0,0.63,630.0,2.42,4.63,-12400.0,-47.69,1
1,AIMIRT,17500,10.6,185500.0,10.9,190750.0,0.84,14700.0,7.92,7.71,5250.0,2.83,2
5,CPNREIT,55000,18.0,990000.0,11.3,621500.0,0.6444,35442.0,3.58,5.7,-368500.0,-37.22,2
6,DIF,45000,12.7,571500.0,9.45,425250.0,0.8888,39996.0,7.0,9.41,-146250.0,-25.59,2
7,GVREIT,69000,7.75,534750.0,6.75,465750.0,0.7824,53985.6,10.1,11.59,-69000.0,-12.9,2
12,MCS,75000,15.312,1148400.0,8.35,626250.0,0.75,56250.0,4.9,8.98,-522150.0,-45.47,2
13,NER,27000,7.45,201150.0,4.48,120960.0,0.36,9720.0,4.83,8.04,-80190.0,-39.87,2
16,PTT,7500,32.0,240000.0,32.0,240000.0,2.2,16500.0,6.88,6.88,0.0,0.0,2
20,SENA,105000,4.48,470400.0,1.69,177450.0,0.1112,11676.0,2.48,6.58,-292950.0,-62.28,2
24,TFFIF,20000,7.2,144000.0,6.25,125000.0,0.4633,9266.0,6.43,7.41,-19000.0,-13.19,2
27,WHAIR,50000,8.7,435000.0,6.15,307500.0,0.4557,22785.0,5.24,7.41,-127500.0,-29.31,2
28,WHART,20000,12.3,246000.0,10.7,214000.0,0.692,13840.0,5.63,6.47,-32000.0,-13.01,2
9,3BBIF,120000,10.1,1212000.0,6.3,756000.0,0.2918,35016.0,2.89,4.63,-456000.0,-37.62,3
3,BCH,4000,21.7,86800.0,10.4,41600.0,0.43,1720.0,1.98,4.13,-45200.0,-52.07,3
15,PTG,3600,11.4,41040.0,7.1,25560.0,0.35,1260.0,3.07,4.93,-15480.0,-37.72,3
18,RCL,27000,38.78,1047060.0,27.25,735750.0,2.5,67500.0,6.45,9.17,-311310.0,-29.73,3
22,STA,10000,30.0,300000.0,12.2,122000.0,1.0,10000.0,3.33,8.2,-178000.0,-59.33,3
23,SYNEX,17500,26.4,462000.0,9.95,174125.0,0.44,7700.0,1.67,4.42,-287875.0,-62.31,3
26,TVO,4000,24.9,99600.0,22.4,89600.0,1.73,6920.0,6.95,7.72,-10000.0,-10.04,3
4,CPF,10000,23.4,234000.0,21.8,218000.0,1.55,15500.0,6.62,7.11,-16000.0,-6.84,4
8,IVL,7200,40.0,288000.0,16.1,115920.0,0.7,5040.0,1.75,4.35,-172080.0,-59.75,4
14,ORI,50000,9.0,450000.0,1.79,89500.0,0.021,1050.0,0.23,1.17,-360500.0,-80.11,4
17,PTTGC,6000,64.75,388500.0,21.0,126000.0,0.5,3000.0,0.77,2.38,-262500.0,-67.57,4
19,SCC,600,405.0,243000.0,183.5,110100.0,5.0,3000.0,1.23,2.72,-132900.0,-54.69,4
21,SINGER,6000,24.8,148800.0,4.88,29280.0,0.0,0.0,0.0,0.0,-119520.0,-80.32,4
