name,qtrly,shares,amount,net,xdate,paiddate,cost_amt,pct,amt_yearly,yearly,actual
3BBIF,0.2241,120000,26892.0,24202.8,2026-02-13,2026-03-04,1212000.0,2.0,61908.0,5.11,1
ADVANC,27.41,100,2741.0,2466.9,2026-02-27,2026-04-30,38000.0,6.49,3430.0,9.03,1
AH,0.48,1200,576.0,518.4,2026-03-12,2026-05-22,44400.0,1.17,948.0,2.14,1
AIMIRT,0.205,17500,3587.5,3228.75,2026-03-05,2026-03-20,185500.0,1.74,14525.0,7.83,1
AWC,0.08,9000,720.0,648.0,2026-05-07,2026-05-28,44640.0,1.45,720.0,1.61,1
BCH,0.3,4000,1200.0,1080.0,2026-04-29,2026-05-22,86800.0,1.24,1800.0,2.07,1
CPF,0.25,10000,2500.0,2250.0,2026-05-05,2026-05-22,234000.0,0.96,12500.0,5.34,1
CPNREIT,0.2794,55000,15367.0,13830.3,2026-03-11,2026-03-27,990000.0,1.4,45380.5,4.58,1
DIF,0.2222,45000,9999.0,8999.1,2026-02-13,2026-03-09,571500.0,1.57,39996.0,7.0,1
GVREIT,0.1783,69000,12302.7,11072.43,2026-02-26,2026-03-12,534750.0,2.07,53695.8,10.04,1
IVL,0.175,7200,1260.0,1134.0,2025-11-25,2025-12-11,288000.0,0.39,5040.0,1.75,0
JMT,0.43,7000,3010.0,2709.0,2026-03-02,2026-05-06,263900.0,1.03,4690.0,1.78,1
MCS,0.7,75000,52500.0,47250.0,2026-04-20,2026-05-07,1148400.0,4.11,71250.0,6.2,1
NER,0.26,27000,7020.0,6318.0,2026-04-23,2026-05-07,201150.0,3.14,8370.0,4.16,1
PTG,0.25,3600,900.0,810.0,2025-03-10,2025-05-16,41040.0,1.97,1260.0,3.07,0
PTT,1.4,7500,10500.0,9450.0,2026-03-05,2026-04-28,240000.0,3.94,17250.0,7.19,1
PTTGC,0.5,6000,3000.0,2700.0,2026-02-24,2026-04-24,388500.0,0.69,3000.0,0.77,1
RCL,1.5,27000,40500.0,36450.0,2026-03-11,2026-05-15,1047060.0,3.48,67500.0,6.45,1
SCC,2.5,600,1500.0,1350.0,2026-04-01,2026-04-21,243000.0,0.56,3000.0,1.23,1
SENA,0.1383,105000,14521.5,13069.35,2026-05-13,2026-05-25,470400.0,2.78,14521.5,3.09,1
STA,0.5,10000,5000.0,4500.0,2026-04-21,2026-05-08,300000.0,1.5,5000.0,1.67,1
SYNEX,0.38,17500,6650.0,5985.0,2026-04-30,2026-05-12,462000.0,1.3,8400.0,1.82,1
TFFIF,0.114,20000,2280.0,2052.0,2026-02-27,2026-03-18,144000.0,1.42,9326.0,6.48,1
TOA,0.27,1000,270.0,243.0,2025-08-28,2025-09-12,26000.0,0.93,630.0,2.42,0
TVO,0.93,4000,3720.0,3348.0,2025-08-22,2025-09-05,99600.0,3.36,6920.0,6.95,0
WHAIR,0.1755,50000,8775.0,7897.5,2026-03-05,2026-03-27,435000.0,1.82,28650.0,6.59,1
WHART,0.1212,20000,2424.0,2181.6,2026-03-05,2026-03-20,246000.0,0.89,13548.0,5.51,1
