period,grade,name,date,volbuy,buy_price,mkt_price,amtbuy,amtmkt,amtpol,pctpol
1,A1,PTTGC,2021-03-17,6000.0,64.75,38.75,388500.0,232500.0,-156000.0,-40.15444015444015
1,A4,SINGER,2023-01-19,6000.0,24.8,5.8,148800.0,34800.0,-114000.0,-76.61290322580645
1,C3,STA,2021-06-15,10000.0,30.0,18.9,300000.0,189000.0,-111000.00000000001,-37.00000000000001
2,A4,3BBIF,2018-05-17,120000.0,10.1,6.6,1212000.0,792000.0,-420000.0,-34.65346534653465
2,A4,CPNREIT,2022-08-16,55000.0,18.0,12.3,990000.0,676500.0,-313499.99999999994,-31.66666666666666
2,A4,DIF,2020-08-01,45000.0,12.7,10.0,571500.0,450000.0,-121499.99999999997,-21.259842519685034
2,C4,GVREIT,2022-08-24,69000.0,7.75,6.8,534750.0,469200.0,-65550.00000000001,-12.258064516129034
2,A4,MCS,2016-09-20,75000.0,15.4,8.25,1155000.0,618750.0,-536250.0,-46.42857142857143
2,A1,NER,2021-09-01,27000.0,7.45,4.32,201150.0,116640.00000000001,-84510.0,-42.013422818791945
2,B4,PTT,2025-08-08,7500.0,32.0,36.5,240000.0,273750.0,33750.0,14.0625
2,C1,SENA,2022-03-29,105000.0,4.48,2.06,470400.0,216300.0,-254100.00000000003,-54.01785714285715
2,A4,TFFIF,2023-07-06,25000.0,7.3,6.5,182500.0,162500.0,-19999.999999999996,-10.958904109589039
2,A1,WHAIR,2021-10-11,50000.0,8.7,7.65,435000.0,382500.0,-52499.99999999995,-12.068965517241367
2,A3,WHART,2022-01-05,20000.0,12.3,10.8,246000.0,216000.0,-30000.0,-12.195121951219512
3,A1,ADVANC,2026-02-27,400.0,355.0,350.0,142000.0,140000.0,-2000.0,-1.4084507042253522
3,B1,AH,2023-06-08,1200.0,37.0,13.7,44400.0,16440.0,-27960.0,-62.972972972972975
3,B1,AWC,2023-06-15,9000.0,4.96,2.14,44640.0,19260.0,-25380.0,-56.85483870967742
3,B2,BCH,2021-09-07,4000.0,21.7,9.3,86800.0,37200.0,-49599.99999999999,-57.14285714285714
3,A2,CPF,2025-08-21,10000.0,23.4,19.0,234000.0,190000.0,-43999.999999999985,-18.803418803418797
3,B4,PTG,2023-07-12,3600.0,11.4,7.75,41040.0,27900.0,-13140.000000000002,-32.01754385964913
3,B3,RCL,2021-11-08,27000.0,38.78,32.0,1047060.0,864000.0,-183060.00000000003,-17.483238782877773
3,A3,SYNEX,2022-01-07,17500.0,26.4,9.9,462000.0,173250.0,-288750.0,-62.5
3,A4,TOA,2023-09-06,1000.0,26.0,12.4,26000.0,12400.0,-13600.0,-52.307692307692314
3,B2,TVO,2024-11-06,4000.0,24.9,24.2,99600.0,96800.0,-2799.9999999999973,-2.811244979919676
4,C3,IVL,2022-08-29,7200.0,40.0,24.0,288000.0,172800.0,-115200.0,-40.0
4,C4,JMT,2023-01-26,7000.0,37.7,10.0,263900.0,70000.0,-193900.00000000003,-73.47480106100797
4,C2,ORI,2022-04-07,50000.0,9.0,1.79,450000.0,89500.0,-360500.0,-80.11111111111111
