period,name,shares,date1,date2,price1,price2,change,%change,amount,spd
1,PTTGC,6000,2025-12-30,2026-03-23,21.00,33.50,12.50,59.52,75000.0,74
1,SINGER,6000,2025-12-30,2026-03-23,4.88,4.80,-0.08,-1.64,-480.00000000000045,-4
1,STA,10000,2025-12-30,2026-03-23,12.20,17.60,5.40,44.26,54000.00000000002,54
2,3BBIF,120000,2025-12-30,2026-03-23,6.30,6.50,0.20,3.17,24000.000000000022,4
2,CPNREIT,55000,2025-12-30,2026-03-23,11.30,11.50,0.20,1.77,10999.999999999962,2
2,DIF,45000,2025-12-30,2026-03-23,9.45,9.40,-0.05,-0.53,-2249.9999999999523,-1
2,GVREIT,69000,2025-12-30,2026-03-23,6.75,6.40,-0.35,-5.19,-24149.999999999975,-7
2,MCS,75000,2025-12-30,2026-03-23,8.35,9.25,0.90,10.78,67500.00000000003,18
2,NER,27000,2025-12-30,2026-03-23,4.48,4.70,0.22,4.91,5939.999999999994,11
2,PTT,7500,2025-12-30,2026-03-23,32.00,33.50,1.50,4.69,11250.0,6
2,SENA,105000,2025-12-30,2026-03-23,1.69,1.88,0.19,11.24,19949.999999999993,19
2,TFFIF,25000,2025-12-30,2026-03-23,6.25,6.45,0.20,3.20,5000.000000000005,4
2,WHAIR,50000,2025-12-30,2026-03-23,6.15,6.80,0.65,10.57,32499.999999999975,13
2,WHART,20000,2025-12-30,2026-03-23,10.70,10.10,-0.60,-5.61,-11999.999999999993,-6
3,ADVANC,100,2025-12-30,2026-03-23,313.00,366.00,53.00,16.93,5300.0,53
3,AH,1200,2025-12-30,2026-03-23,12.60,12.60,0.00,0.00,0.0,0
3,AWC,9000,2025-12-30,2026-03-23,2.12,1.96,-0.16,-7.55,-1440.0000000000014,-10
3,BCH,4000,2025-12-30,2026-03-23,10.40,9.35,-1.05,-10.10,-4200.000000000003,-17
3,CPF,10000,2025-12-30,2026-03-23,21.80,19.20,-2.60,-11.93,-26000.000000000015,-26
3,PTG,3600,2025-12-30,2026-03-23,7.10,7.60,0.50,7.04,1800.0,10
3,RCL,27000,2025-12-30,2026-03-23,27.25,30.25,3.00,11.01,81000.0,12
3,SYNEX,17500,2025-12-30,2026-03-23,9.95,9.00,-0.95,-9.55,-16624.99999999999,-19
3,TOA,1000,2025-12-30,2026-03-23,13.60,12.40,-1.20,-8.82,-1199.9999999999993,-12
3,TVO,4000,2025-12-30,2026-03-23,22.40,24.30,1.90,8.48,7600.000000000008,19
4,IVL,7200,2025-12-30,2026-03-23,16.10,24.40,8.30,51.55,59759.99999999998,83
4,JMT,7000,2025-12-30,2026-03-23,8.75,7.95,-0.80,-9.14,-5599.999999999999,-16
4,ORI,50000,2025-12-30,2026-03-23,1.79,1.72,-0.07,-3.91,-3500.000000000003,-7
