name,date,0.0,0.0,0.0,0.0,0,0,0,0,0.0
ACE,2026-04-10,1.28,1.28,1.27,0.010000000000000009,1,0,1,856214,1.27
ADVANC,2026-04-10,363.0,364.0,361.0,3.0,3,1,2,1801268,364.0
AEONTS,2026-04-10,93.75,94.0,92.25,1.75,7,1,6,663617,92.5
AH,2026-04-10,13.0,13.0,12.8,0.1999999999999993,2,0,2,95120,12.8
AIE,2026-04-10,1.16,1.18,1.16,0.020000000000000018,2,2,0,859774,1.16
AIMIRT,2026-04-10,11.2,11.2,11.1,0.09999999999999964,1,0,1,58060,11.1
AIT,2026-04-10,4.86,4.86,4.82,0.040000000000000036,2,0,2,548051,4.84
AMATA,2026-04-10,19.7,20.0,19.6,0.3999999999999986,4,3,1,5547854,19.8
ANAN,2026-04-10,0.39,0.39,0.37,0.020000000000000018,2,0,2,408232,0.38
AOT,2026-04-10,54.0,55.0,53.75,1.25,5,4,1,10331331,55.0
AP,2026-04-10,8.45,8.55,8.35,0.20000000000000107,4,2,2,7709095,8.5
ASIAN,2026-04-10,7.05,7.05,7.0,0.04999999999999982,1,0,1,125661,7.0
ASK,2026-04-10,8.3,8.3,8.15,0.15000000000000036,3,0,3,118570,8.15
ASW,2026-04-10,7.3,7.3,7.2,0.09999999999999964,2,0,2,453953,7.25
AWC,2026-04-10,2.22,2.26,2.2,0.05999999999999961,3,2,1,27555293,2.22
BA,2026-04-10,13.6,13.7,13.5,0.1999999999999993,2,1,1,2644818,13.6
BAM,2026-04-10,7.3,7.3,7.2,0.09999999999999964,2,0,2,4154826,7.2
BANPU,2026-04-10,5.85,5.95,5.8,0.15000000000000036,3,2,1,35186336,5.9
BBL,2026-04-10,166.0,167.5,165.5,2.0,4,3,1,6900011,166.5
BCH,2026-04-10,9.85,9.9,9.75,0.15000000000000036,3,1,2,4084088,9.9
BCP,2026-04-10,36.5,37.0,36.25,0.75,3,2,1,1413980,36.5
BCPG,2026-04-10,6.75,6.85,6.7,0.14999999999999947,3,2,1,5697466,6.8
BDMS,2026-04-10,18.6,18.8,18.5,0.3000000000000007,3,2,1,48926503,18.7
BEC,2026-04-10,1.91,1.92,1.89,0.030000000000000027,3,1,2,319101,1.92
BEM,2026-04-10,5.3,5.35,5.2,0.14999999999999947,3,1,2,24657026,5.3
BGRIM,2026-04-10,11.9,11.9,11.6,0.3000000000000007,3,0,3,6258324,11.8
BH,2026-04-10,172.5,174.5,170.0,4.5,9,4,5,5041875,171.5
BJC,2026-04-10,15.1,15.2,15.0,0.1999999999999993,2,1,1,2881205,15.2
BLA,2026-04-10,20.7,20.7,20.2,0.5,5,0,5,1190463,20.4
BLAND,2026-04-10,0.43,0.45,0.43,0.020000000000000018,2,2,0,17731605,0.44
BPP,2026-04-10,12.1,12.2,12.0,0.1999999999999993,2,1,1,145755,12.2
BTS,2026-04-10,2.14,2.14,2.1,0.040000000000000036,2,0,2,13991848,2.12
BTSGIF,2026-04-10,2.58,2.58,2.56,0.020000000000000018,1,0,1,471343,2.56
CBG,2026-04-10,38.0,38.75,38.0,0.75,3,3,0,1497428,38.25
CENTEL,2026-04-10,34.75,35.0,34.25,0.75,3,1,2,1825343,35.0
CHG,2026-04-10,1.4,1.42,1.39,0.030000000000000027,3,2,1,19821447,1.41
CK,2026-04-10,16.6,16.7,16.2,0.5,5,1,4,10251028,16.3
CKP,2026-04-10,2.3,2.32,2.28,0.040000000000000036,2,1,1,1450749,2.3
COM7,2026-04-10,22.2,22.4,21.5,0.8999999999999986,9,2,7,18629284,21.7
CPALL,2026-04-10,47.75,47.75,47.0,0.75,3,0,3,18223697,47.25
CPF,2026-04-10,20.8,20.8,20.5,0.3000000000000007,3,0,3,19119490,20.7
CPN,2026-04-10,63.5,64.5,63.25,1.25,5,4,1,6007813,64.25
CPNCG,2026-04-10,6.15,6.15,6.1,0.05000000000000071,1,0,1,384366,6.15
CPNREIT,2026-04-10,11.7,11.8,11.6,0.20000000000000107,2,1,1,1994365,11.8
CRC,2026-04-10,19.8,19.9,19.6,0.29999999999999716,3,1,2,6444105,19.7
DELTA,2026-04-10,317.0,319.0,304.0,15.0,15,2,13,24733173,305.0
DIF,2026-04-10,9.6,9.65,9.55,0.09999999999999964,2,1,1,9747108,9.6
DOHOME,2026-04-10,3.38,3.42,3.36,0.06000000000000005,3,2,1,6295542,3.42
EA,2026-04-10,2.66,2.68,2.64,0.040000000000000036,2,1,1,19075516,2.64
EGATIF,2026-04-10,6.15,6.2,6.15,0.04999999999999982,1,1,0,121365,6.2
EGCO,2026-04-10,111.5,113.0,111.5,1.5,3,3,0,470500,113.0
EPG,2026-04-10,3.22,3.26,3.18,0.07999999999999963,4,2,2,1662150,3.26
FORTH,2026-04-10,7.35,7.4,7.2,0.20000000000000018,4,1,3,509892,7.25
GFPT,2026-04-10,9.3,9.4,9.25,0.15000000000000036,3,2,1,976514,9.25
GLOBAL,2026-04-10,6.1,6.25,6.05,0.20000000000000018,4,3,1,7873417,6.25
GPSC,2026-04-10,34.75,35.25,34.5,0.75,3,2,1,3856511,35.25
GULF,2026-04-10,59.5,59.75,59.0,0.75,3,1,2,13806497,59.25
GUNKUL,2026-04-10,2.4,2.42,2.38,0.040000000000000036,2,1,1,24597637,2.42
GVREIT,2026-04-10,6.6,6.65,6.5,0.15000000000000036,3,1,2,575719,6.5
HANA,2026-04-10,26.25,26.75,25.75,1.0,4,2,2,33406970,26.0
HFT,2026-04-10,4.2,4.24,4.18,0.0600000000000005,3,2,1,45100,4.18
HMPRO,2026-04-10,6.3,6.3,6.2,0.09999999999999964,2,0,2,17755805,6.25
HTC,2026-04-10,15.5,15.5,15.4,0.09999999999999964,1,0,1,111940,15.5
ICHI,2026-04-10,12.8,12.8,12.7,0.10000000000000142,1,0,1,2704352,12.8
III,2026-04-10,3.86,3.86,3.8,0.06000000000000005,3,0,3,114201,3.82
ILM,2026-04-10,13.3,13.4,13.2,0.20000000000000107,2,1,1,88202,13.3
IMPACT,2026-04-10,11.4,11.4,11.2,0.20000000000000107,2,0,2,456901,11.2
IRPC,2026-04-10,1.69,1.69,1.64,0.050000000000000044,5,0,5,111336131,1.68
IVL,2026-04-10,24.5,24.6,24.4,0.20000000000000284,2,1,1,15574489,24.6
3BBIF,2026-04-10,6.65,6.7,6.6,0.10000000000000053,2,1,1,7774108,6.65
JMART,2026-04-10,6.6,6.65,6.55,0.10000000000000053,2,1,1,1650305,6.6
JMT,2026-04-10,8.5,8.6,8.5,0.09999999999999964,2,2,0,2412719,8.5
KBANK,2026-04-10,192.0,193.0,191.0,2.0,4,2,2,10365241,191.5
KCE,2026-04-10,25.75,26.0,24.4,1.6000000000000014,10,1,9,70179564,24.4
KGI,2026-04-10,4.38,4.4,4.36,0.040000000000000036,2,1,1,1428980,4.36
KKP,2026-04-10,80.0,80.75,79.25,1.5,6,3,3,2876180,80.25
KTB,2026-04-10,33.0,33.25,32.75,0.5,2,1,1,88196281,33.0
KTC,2026-04-10,29.0,29.0,28.5,0.5,2,0,2,15154375,28.75
LALIN,2026-04-10,4.5,4.52,4.5,0.019999999999999574,1,1,0,35900,4.52
LANNA,2026-04-10,15.0,15.2,14.9,0.29999999999999893,3,2,1,314050,15.1
LH,2026-04-10,3.8,3.82,3.78,0.040000000000000036,2,1,1,13533676,3.82
LPN,2026-04-10,1.57,1.58,1.55,0.030000000000000027,3,1,2,345527,1.56
M,2026-04-10,19.1,19.2,19.0,0.1999999999999993,2,1,1,1008932,19.2
MAJOR,2026-04-10,8.1,8.1,7.9,0.1999999999999993,4,0,4,1312649,8.0
MC,2026-04-10,10.8,10.9,10.7,0.20000000000000107,2,1,1,1206598,10.8
MCS,2026-04-10,9.4,9.45,9.35,0.09999999999999964,2,1,1,2240604,9.45
MEGA,2026-04-10,34.25,34.5,33.75,0.75,3,1,2,359628,33.75
MINT,2026-04-10,22.5,22.6,22.4,0.20000000000000284,2,1,1,5694258,22.4
MTC,2026-04-10,30.5,31.0,30.25,0.75,3,2,1,5150550,31.0
NER,2026-04-10,4.86,4.88,4.82,0.05999999999999961,3,1,2,4360325,4.88
NOBLE,2026-04-10,1.99,2.0,1.98,0.020000000000000018,2,1,1,136445,1.98
ONEE,2026-04-10,2.62,2.76,2.62,0.13999999999999968,7,7,0,1307441,2.66
OR,2026-04-10,12.2,12.3,12.1,0.20000000000000107,2,1,1,14963198,12.2
ORI,2026-04-10,1.76,1.77,1.75,0.020000000000000018,2,1,1,725540,1.77
OSP,2026-04-10,15.1,15.1,14.9,0.1999999999999993,2,0,2,3447381,15.0
PLANB,2026-04-10,4.0,4.04,4.0,0.040000000000000036,2,2,0,1449407,4.04
POPF,2026-04-10,6.95,6.95,6.9,0.04999999999999982,1,0,1,77000,6.9
PRM,2026-04-10,8.75,8.8,8.35,0.45000000000000107,9,1,8,95193951,8.4
PSH,2026-04-10,3.5,3.52,3.48,0.040000000000000036,2,1,1,581501,3.5
PSL,2026-04-10,6.6,6.65,6.5,0.15000000000000036,3,1,2,2606902,6.6
PTG,2026-04-10,8.65,8.65,8.45,0.20000000000000107,4,0,4,3160510,8.45
PTL,2026-04-10,10.1,10.4,10.0,0.40000000000000036,4,3,1,744400,10.0
PTT,2026-04-10,34.75,35.5,34.75,0.75,3,3,0,48757370,35.25
PTTEP,2026-04-10,151.5,152.0,150.0,2.0,4,1,3,12371713,152.0
PTTGC,2026-04-10,36.5,36.5,35.75,0.75,3,0,3,24422117,36.0
QH,2026-04-10,1.4,1.4,1.38,0.020000000000000018,2,0,2,7277496,1.39
