name,date,volbuy,cost_amount,market_value,period
PTTGC,2021-03-17,"6,000","฿388,500.00","฿219,000.00",1
SINGER,2023-01-19,"6,000","฿148,800.00","฿29,880.00",1
STA,2021-06-15,"10,000","฿300,000.00","฿178,000.00",1
3BBIF,2018-05-17,"120,000","฿1,212,000.00","฿786,000.00",2
CPNREIT,2022-08-16,"55,000","฿990,000.00","฿627,000.00",2
DIF,2020-08-01,"45,000","฿571,500.00","฿429,750.00",2
GVREIT,2022-08-24,"69,000","฿534,750.00","฿441,600.00",2
MCS,2016-09-20,"75,000","฿1,148,400.00","฿723,750.00",2
NER,2021-09-01,"27,000","฿201,150.00","฿131,760.00",2
PTT,2025-08-08,"7,500","฿240,000.00","฿262,500.00",2
SENA,2022-03-29,"105,000","฿470,400.00","฿196,350.00",2
TFFIF,2023-07-06,"25,000","฿182,500.00","฿165,000.00",2
WHAIR,2021-10-11,"50,000","฿435,000.00","฿345,000.00",2
WHART,2022-01-05,"20,000","฿246,000.00","฿202,000.00",2
ADVANC,2026-02-27,100,"฿38,000.00","฿37,300.00",3
AH,2023-06-08,"1,200","฿44,400.00","฿15,480.00",3
AWC,2023-06-15,"9,000","฿44,640.00","฿19,260.00",3
BCH,2021-09-07,"4,000","฿86,800.00","฿38,800.00",3
CPF,2025-08-21,"10,000","฿234,000.00","฿209,000.00",3
PTG,2023-07-12,"3,600","฿41,040.00","฿31,140.00",3
RCL,2021-11-08,"27,000","฿1,047,060.00","฿850,500.00",3
SYNEX,2022-01-07,"17,500","฿462,000.00","฿164,500.00",3
TOA,2023-09-06,"1,000","฿26,000.00","฿13,000.00",3
TVO,2024-11-06,"4,000","฿99,600.00","฿100,000.00",3
IVL,2022-08-29,"7,200","฿288,000.00","฿181,800.00",4
JMT,2023-01-26,"7,000","฿263,900.00","฿60,550.00",4
ORI,2022-04-07,"50,000","฿450,000.00","฿90,000.00",4
