id,name,full_name,sector,subsector,market,website,created_at,updated_at
1,A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET,www.areeya.co.th,2018-04-22 04:29:36.055037,2018-04-22 04:29:36.055037
8,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,SET50 / SETHD / SETTHSI,investor.ais.co.th,2018-04-22 04:29:36.118727,2021-07-07 03:33:38.798595
9,AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,Financials,Finance & Securities,SET100,www.aeon.co.th,2018-04-22 04:29:36.124123,2019-03-03 03:45:00.149450
11,AH,AAPICO HITECH PUBLIC COMPANY LIMITED,Industrials,Automotive,sSET / SETTHSI,www.aapico.com,2018-04-22 04:29:36.134601,2021-07-07 03:33:38.806441
13,AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,SET,www.aimreit.com,2018-04-22 04:29:36.146073,2018-04-22 04:29:36.146073
14,AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",Technology,Information & Communication Technology,sSET,www.ait.co.th,2018-04-22 04:29:36.152088,2018-04-22 04:29:36.152088
15,AJ,A.J. PLAST PUBLIC COMPANY LIMITED,Industrials,Packaging,sSET / SETCLMV,www.ajplast.co.th,2018-04-22 04:29:36.157101,2021-07-07 03:33:38.813126
17,AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SET,www.ekarat.co.th,2018-04-22 04:29:36.168158,2019-03-03 03:45:00.403277
19,ALT,ALT TELECOM PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,sSET,www.alt.co.th,2018-04-22 04:29:36.179062,2021-01-26 15:42:34.960758
22,AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,Financials,Finance & Securities,sSET,www.amanah.co.th,2018-04-22 04:29:36.255986,2020-07-06 13:23:58.483615
23,AMARIN,AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY LIMITED,Services,Media & Publishing,SET,www.amarin.com,2018-04-22 04:29:36.260757,2018-07-04 15:30:18.338387
