filename,artist,title,duration_seconds,duration_minutes,date,type
A Change Is Gonna Come_Sam Cooke.mp4,,A Change Is Gonna Come_Sam Cooke,194.42,3.240333333333333,2026-11-01,L
BIRDS OF A FEATHER_Billie Eilish.mp4,,BIRDS OF A FEATHER_Billie Eilish,211.13,3.5188333333333333,2026-11-01,L
Both Sides Now_Joni Mitchell.mp4,,Both Sides Now_Joni Mitchell,329.33,5.488833333333333,2026-11-01,L
Crying_Roy Orbison - Copy.mp4,Crying_Roy Orbison,Copy,182.46,3.041,2026-11-01,L
Don't Know Why_Norah Jones.mp4,,Don't Know Why_Norah Jones,183.0,3.05,2026-11-01,L
Dreams_Fleetwood Mac .mp4,,Dreams_Fleetwood Mac,254.83,4.247166666666667,2026-11-01,L
drivers license_Olivia Rodrigo.mp4,,drivers license_Olivia Rodrigo,247.17,4.1194999999999995,2026-11-01,L
Easy On Me_Adele .mp4,,Easy On Me_Adele,227.71,3.795166666666667,2026-11-01,L
Honey_Bobby Goldsboro.mp4,,Honey_Bobby Goldsboro,233.38,3.8896666666666664,2026-11-01,L
I Can’t Make You Love Me_Bonnie Raitt.mp4,,I Can’t Make You Love Me_Bonnie Raitt,284.96,4.749333333333333,2026-11-01,L
I Walk the Line_Johnny Cash.mp4,,I Walk the Line_Johnny Cash,132.33,2.2055000000000002,2026-11-01,L
I’m So Lonesome I Could Cry_Hank Williams - Copy.mp4,I’m So Lonesome I Could Cry_Hank Williams,Copy,180.67,3.0111666666666665,2026-11-01,L
Love Will Find You_Avril Lavigne.mp4,,Love Will Find You_Avril Lavigne,314.46,5.241,2026-11-01,L
lovely_Billie Eilish.mp4,,lovely_Billie Eilish,200.54,3.3423333333333334,2026-11-01,L
Manuela_Julio Iglesias.mp4,,Manuela_Julio Iglesias,217.38,3.6229999999999998,2026-11-01,L
ยิ้มกลางสายฝน (TH)_หงา คาราวาน.mp4,,ยิ้มกลางสายฝน (TH)_หงา คาราวาน,238.17000000000002,3.9695000000000005,2026-11-01,L
