artist,title,date,type,filename,duration_seconds,duration_minutes
โฮป,กำลังใจ (TH),2026-11-01,L,กำลังใจ (TH)_โฮป.mp4,186.25,3.1041666666666665
แอม เสาวลักษณ์,ครึ่งหนึ่งของชีวิต (TH),2026-11-01,L,ครึ่งหนึ่งของชีวิต (TH)_แอม เสาวลักษณ์.mp4,210.02,3.5003333333333333
ต้อม เรนโบว์,ความในใจ (TH),2026-11-01,L,ความในใจ (TH)_ต้อม เรนโบว์.mp4,238.07,3.967833333333333
หรั่ง ร็อกเคสตร้า,คิดถึง (TH),2026-11-01,L,คิดถึง (TH)_หรั่ง ร็อกเคสตร้า.mp4,276.37,4.606166666666667
หงา คาราวาน,คืนรัง (TH),2026-11-01,L,คืนรัง (TH)_หงา คาราวาน.mp4,243.88,4.064666666666667
คาราบาว,ทะเลใจ (TH),2026-11-01,L,ทะเลใจ (TH)_คาราบาว.mp4,262.06,4.367666666666667
ดนุพล แก้วกาญจน์,ที่สุดของหัวใจ (TH),2026-11-01,L,ที่สุดของหัวใจ (TH)_ดนุพล แก้วกาญจน์.mp4,229.88,3.8313333333333333
วารุณี สุนทรีสวัสดิ์,น้ำผึ้งหรือยาพิษ (TH),2026-11-01,L,น้ำผึ้งหรือยาพิษ (TH)_วารุณี สุนทรีสวัสดิ์.mp4,188.5,3.1416666666666666
อนันต์ บุนนาค,ล้างใจ,2026-11-01,L,ล้างใจ_อนันต์ บุนนาค.mp4,237.44,3.957333333333333
หิน เหล็ก ไฟ,ศรัทธา (TH),2026-11-01,L,ศรัทธา (TH)_หิน เหล็ก ไฟ.mp4,270.67,4.511166666666667
สุนทรี เวชานนท์,สาวเชียงใหม (TH),2026-11-01,L,สาวเชียงใหม (TH)_สุนทรี เวชานนท์.mp4,188.67,3.1445
แหวน ฐิติมา,เรามีเรา (TH),2026-11-01,L,เรามีเรา (TH)_แหวน ฐิติมา.mp4,207.25,3.4541666666666666
ธงไชย แมคอินไตย์,เล่าสู่กันฟัง (TH),2026-11-01,L,เล่าสู่กันฟัง (TH)_ธงไชย แมคอินไตย์.mp4,262.0,4.366666666666666
น้ดดา วิยกาญจน์,เสน่หา (TH),2026-11-01,L,เสน่หา (TH)_น้ดดา วิยกาญจน์.mp4,217.18,3.619666666666667
พงษ์สิทธิ์ คำภีร์,เสมอ (TH),2026-11-01,L,เสมอ (TH)_พงษ์สิทธิ์ คำภีร์.mp4,371.07,6.1845
ไข่ มาลีฮวนน่า,แสงจันทร์ (TH),2026-11-01,L,แสงจันทร์ (TH)_ไข่ มาลีฮวนน่า.mp4,327.08,5.451333333333333
ลานนา คัมมินส์,ไว้ใจได้กา (TH),2026-11-01,L,ไว้ใจได้กา (TH)_ลานนา คัมมินส์.mp4,210.17000000000002,3.5028333333333337
