song_title,artist,filename,id_x,artist_name,youtube_code
(Everything I Do) I Do It For You,Bryan Adams,(Everything I Do) I Do It For You_Bryan Adams.mp4,283.0,Bryan Adams,La0IJPt0t4Q
(I Can't Get No) Satisfaction,Rolling Stones The,(I Can't Get No) Satisfaction_Rolling Stones The.mp4,2.0,Rolling Stones The,nrIPxlFzDi0
A Change Is Gonna Come,Sam Cooke,A Change Is Gonna Come_Sam Cooke.mp4,14.0,Sam Cooke,wEBlaMOmKV4
A Day in the Life,Beatles The,A Day in the Life_Beatles The.mp4,30.0,Beatles The,usNsCeOV4GM
Against the Wind,Bob Seger,Against the Wind_Bob Seger.mp4,511.0,Bob Seger,lB9sBvE254E
All By Myself,Celine Dion,All By Myself_Celine Dion.mp4,291.0,Celine Dion,NGrLb6W5YOM
All I Have to Do Is Dream,Everly Brothers The,All I Have to Do Is Dream_Everly Brothers The.mp4,135.0,Everly Brothers The,25dAa293YUo
All Too Well,Taylor Swift,All Too Well_Taylor Swift.mp4,490.0,Taylor Swift,r0yq_yXFQhg
All of Me,John Legend,All of Me_John Legend.mp4,526.0,John Legend,450p7goxZqg
Always Remember Us This Way,Lady Gaga,Always Remember Us This Way_Lady Gaga.mp4,488.0,Lady Gaga,6-Dci8X2Zvk
Angel,Sarah McLachlan,Angel_Sarah McLachlan.mp4,541.0,Sarah McLachlan,VLZ9Ike2Geo
Angie,Rolling Stones The,Angie_Rolling Stones The.mp4,587.0,Rolling Stones The,RcZn2-bGXqQ
Anti-Hero,Taylor Swift,Anti-Hero_Taylor Swift.mp4,576.0,Taylor Swift,b1kbLwvqugk
As Tears Go By,Rolling Stones The,As Tears Go By_Rolling Stones The.mp4,588.0,Rolling Stones The,3P0COo6jSlY
Aubrey,Bread,Aubrey_Bread .mp4,326.0,Bread ,9IWxocGm21U
Bad Guy,Billie Eilish,Bad Guy_Billie Eilish.mp4,530.0,Billie Eilish,DyDfgMOUjCI
Beat It,Michael Jackson,Beat It_Michael Jackson.mp4,400.0,Michael Jackson,oRdxUFDoQe0
Because You Loved Me,Celine Dion,Because You Loved Me_Celine Dion.mp4,294.0,Celine Dion,fpl4if07ics
Because You Loved Me,Celine Dion,Because You Loved Me_Celine Dion.mp4,489.0,Anonymous Singer,c5OebIpqKec
Bennie and the Jets,Elton John,Bennie and the Jets_Elton John.mp4,585.0,Elton John,wo1OwRTRKRk
Billie Jean,Michael Jackson,Billie Jean_Michael Jackson.mp4,58.0,Michael Jackson,Zi_XLOBDo_Y
Blank Space,Taylor Swift,Blank Space_Taylor Swift.mp4,575.0,Taylor Swift,e-ORhEE9VVg
Bleeding Love,Leona Lewis,Bleeding Love_Leona Lewis.mp4,528.0,Leona Lewis,Vzo-EL_62fQ
Blowin' in the Wind,Bob Dylan,Blowin' in the Wind_Bob Dylan.mp4,15.0,Bob Dylan,l9frfd97bMM
Bohemian Rhapsody,Queen,Bohemian Rhapsody_Queen .mp4,145.0,Queen ,nEN5eeQbPL4
Bridge over Troubled Water,Simon and Garfunkel,Bridge over Troubled Water_Simon and Garfunkel.mp4,48.0,Simon and Garfunkel ,WrcwRt6J32o
California Dreamin',Mamas and the Papas The,California Dreamin'_Mamas and the Papas The.mp4,89.0,Mamas and the Papas The,N-aK6JnyFmk
