video_id,title,published,view_count,hms_format
G7dSIip5jF4,"OpenCode + NVIDIA: Use Minimax M3, Gemma4, Nemotron 3 & GLM for Free",2026-06-18,8082,0:10:29
uuED-2V4ylo,"OpenCode + Minimax M3: 100% Free, 1 Million Context, Open Weight & More",2026-06-05,8019,0:10:45
xOOUEx8XBDE,OpenCode + AionUi: Full Desktop AI Agent to Replace Claude Cowork for Free,2026-05-26,24118,0:09:02
QIwLqXJkX08,"OpenCode Persistent Memory Across Sessions, 10x Token Savings",2026-05-25,26991,0:09:12
bhsd9MXfccg,"OpenCode + GitNexus: Give OpenCode Real Codebase Memory, Every Developer Use this",2026-05-06,27163,0:09:54
8yac_swVw8I,Pi Coding Agent: The Minimal Coding Agent That Beats Claude Code and OpenCode,2026-05-03,25904,0:08:19
iYpHOxgZjUE,Top 5 OpenCode Skills That Actually 100x Your Workflow (Free),2026-04-30,43148,0:13:41
kGc6k7EEDsE,DeepSeek V4: Cheapest Frontier Model Ever Released?,2026-04-25,1121,0:09:03
-L_faOE-H5g,"OpenCode + Graphify: Stop Wasting Tokens in Opencode, Every Developer Use this",2026-04-21,47566,0:10:11
pUBALmdA33I,Turn Claude Code and OpenCode into Your Marketing Department (Free Skills),2026-04-13,5680,0:10:34
sCu34s8zb4o,OpenCode + AwesomeDesign-md:  Build 100X Stunning Designs for Free,2026-04-10,38160,0:09:49
u9dg1d-r3RE,OpenCode + GSD: The Free AI Coding Workflow to Build Real Projects 10X Better,2026-04-08,23353,0:12:05
baGKgnbQUq8,Supercharge OpenCode With 1300+ Free Skills in One Command Makes It 100x  Powerful,2026-03-29,37047,0:09:53
DEEDkAPNxFc,OpenCode Second Brain: The OpenCode Setup Makes It 100x Smarter and Powerful,2026-03-19,24688,0:10:02
JOKWQBfnY8A,Superpowers + OpenCode:  AI Coding Workflow is 100X Better Than Vibe Coding,2026-03-11,5900,0:08:57
e5sRVJTQxK8,Pi Coding Agent: Forget Claude Code & OpenCode — This Open Source Agent Is Insane,2026-03-08,6635,0:09:18
itPf4WoPtAY,"OpenCode Desktop App — 75+ Providers, Parallel Sessions, File Browser & More",2026-02-25,1475,0:08:22
Pc27ThkuBPQ,OpenCode UI/UX Skill: Build 100X Better & Modern Designs (100% Free),2026-02-04,23948,0:09:20
0VN-BrNcwOw,GitHub Copilot + OpenCode: The Ultimate AI Coding Workflow for 100X Productivity,2026-01-26,3427,0:09:54
PeQzhRPcpzA,GLM 4.7 Flash + OpenCode: The FREE Claude Code Alternative That Changes Everything!,2026-01-22,3575,0:09:44
QcQlLy37FlM,OpenCode Alternatives After Claude Max Ban:  FREE Solutions (Antigravity + Copilot),2026-01-18,1725,0:09:24
HQchzvPJDFw,Gemini CLI Just Got Agent Skills: Comparison with Claude Code Skills and OpenCode Skills,2026-01-09,3371,0:10:12
5cmd-gC0bko,"Oh My OpenCode: #1 OpenCode Extension, Turns OpenCode Into a Full AI Dev Team",2026-01-07,9896,0:10:16
Mv3K0cSe6EM,OpenCode Agent Skills: Build Reusable AI Workflows That Save Hours Bye Gemini CLI & Claude Code,2025-12-29,4932,0:09:31
1vORzacRji0,OpenCode Desktop App: FREE Open Source AI Coding Agent (Better Than Claude Code?),2025-12-20,5075,0:09:08
m8K-yCQ70VM,GLM 4.5 + OpenCode: The FREE Claude Code Alternative That Changes Everything!,2025-09-22,7516,0:09:10
hC72A_1J5Co,Kimi-K2 CLI (OpenCode + Kimi-K2): Best Combination for Productivity,2025-07-16,4072,0:09:32
TGW7ypWwltw,OpenCode DESTROYS Gemini CLI & ClaudeCode! Fastest FREE AI Coder You've NEVER Seen!,2025-07-04,2421,0:09:27
