video_id,title,published,view_count,hms_format
jKYQZQUeuGM,Deepseek V3.2 Speciale might be the OPEN Gemini 3.0 Pro!,2025-12-01,8151,0:09:40
_mK2QnTi2fQ,Gemini 3 & Nano Banana 2.0 is Finally coming NEXT WEEK! My expectations & early checkpoint tests!,2025-11-15,3588,0:08:07
y5syTNGPynM,Gemini 3.0 Pro is coming this month. Everything you need to know before it!,2025-10-07,5078,0:08:19
eF_UGto8jKA,Google Chrome 2.0: Chrome just got new AI Agentic Features & IT'S AWESOME!,2025-09-19,6475,0:12:12
jSgylr1Eerw,Google's Gemini 2.5 Flash Image is ABSOLUTELY INSANE & FREE!,2025-08-26,4286,0:09:56
TsNykunxXuw,Gemini CLI is underrated.. Here's how I automate my life with it,2025-08-20,5586,0:08:02
Fb1xFGn0CtI,Google GemPix: Google JUST CRUSHED EVERY IMAGE MODEL YET! Use it for FREE Now!,2025-08-17,7793,0:08:12
_SlBE_w9Vd4,"Claude 4.1 Opus, Gemini 3 is coming this week & You can use GPT-5 / GPT-OSS right now on Windsurf!",2025-08-05,11295,0:08:05
MBAM8DFi04U,Google Opal: This is the MOST AMAZING FULLY FREE App Generator!,2025-07-26,16286,0:08:33
odA-gDzU_Ec,"Gemini 3 is coming, Google Acquired Windsurf & OpenAI's Open model is now delayed!",2025-07-12,10256,0:11:12
bS0ylEjrr8w,Grok 4 or Claude 4 Sonnet or Gemini 2.5 Pro?,2025-07-10,10989,0:08:26
i15remOFFlQ,Google AI Studio Coder & New Jules Desktop App Updates are CRAZY!,2025-06-24,8529,0:08:49
8L8-jRjoWYI,Jan Nano 4B: This OPEN-SOURCE & LOCAL AI Models BEATS Gemini in Deep Research TASKS!,2025-06-20,8417,0:08:27
urPPGABegAk,Gemini's 3 NEW Models are launching today!,2025-06-17,11143,0:08:27
w8Py8fc0XaE,"Google is launching 2.5 Pro Blacktooth, Prowlridge, Smokegen & 2.5 Flash Lite Model this MONTH!",2025-06-15,7658,0:08:42
vEul-zPuaDE,Google just added limits to AI Studio (API Based). Bye AI Studio!,2025-06-09,8495,0:09:25
llwYDHQ133E,Google just OFFICIALLY REVEALED Gemini's 2025 Roadmap! (& RIP Google's AI Studio),2025-06-07,9012,0:08:55
0oso_xcm46M,Google just OPENSOURCED their Deep Research Tool & You can now use it LOCALLY!,2025-06-03,11748,0:08:35
X4AzE7Gf7Y0,Google AI Edge App: LM-Studio for Smartphone! This OPENSOURCE AI App by Google is INSANE!,2025-05-28,13095,0:09:11
2fwJQx-mB3s,Claude 4 or Gemini 2.5 Pro?,2025-05-24,7599,0:10:38
twl5N9_0Bbw,"Grok 3.5, Llama-4.1 and Gemini 2.5 Coder is going to be AMAZING!",2025-04-29,6225,0:08:05
cJsFh9q4kGY,Gemini Codex : This FULLY FREE AI Coder is KINDA GREAT!,2025-04-21,4953,0:08:22
Oq7b-L9ISXw,o4-mini or Gemini 2.5 Pro? (& Gemini 2.5 Coder is COMING!),2025-04-17,9721,0:08:05
2wnjsdOiPv0,"Gemini 2.5 Pro Deep Research: Google's NEW AI Researcher BEATS OpenAI, Manus & More!",2025-04-09,3548,0:08:18
hhvZh57-IPY,Gemini 2.5 ULTRA - Nightwhisper (Fully Tested): Google's OWN NEW AI Model now beats GEMINI 2.5 PRO!?,2025-04-03,13110,0:08:14
-XwhHV1du6A,OpenDeepSearch (V2) + Gemini 2.5 Pro : This DEEP RESEARCH AI Agent is AMAZING!,2025-04-01,4812,0:08:29
6I0rXnZrsxw,Google's Gemini 2.5 Pro Fully FREE CANVAS: This NEW AI Coding TOOL is AWESOME!,2025-03-30,5400,0:09:24
-zTIQsz5T4E,Google's Gemini 2.5 Pro INSTANT CODER : This FULLY FREE AI Coder is AMAZING!,2025-03-26,6264,0:08:27
2x43rgF1biQ,Gemini 2.0 Pro Thinking (Fully Tested): The NEW SOTA AI Coding Model has ARRIVED!,2025-03-24,8851,0:08:13
yYpab-GBFCo,Google's Gemini CO-DRAWING: This NEW & FULLY FREE AI Drawing Tool is KINDA AMAZING!,2025-03-20,7095,0:02:15
u0bOIzfSft4,Gemini's FULLY FREE Deep Research 2.0 (Upgraded) is INSANE!,2025-03-14,6082,0:02:27
WDU_CsZ9bgc,Gemini 2.0 Native Image Outputs is FULLY FREE & INSANE!,2025-03-13,3727,0:02:17
-Mzly4ebPS8,Phi-4 Mini & Multimodal: Microsoft just CRUSHED GPT-4O & Gemini 2.0 Flash!,2025-02-28,5837,0:04:21
hZ5-iSP5938,Google's Veo 2 is now Publicly Available for FREE!!!,2025-02-21,3938,0:02:25
