video_id,title,published,view_count,hms_format
I3PTT3cS5Bc,"What Happens When GPT-5.2, Gemini 3 & Claude 4.5 Are Forced to Work Together?",2025-12-26,8376,0:23:52
C9Kdavk7B08,GPT-5.2 vs Gemini 3 Pro vs Opus 4.5 vs Grok 4.1 – The ULTIMATE Model Showdown!,2025-12-22,15318,0:43:23
JhVlNGFyHz4,Gemini 3 Flash Is INSANE – Testing Google’s FASTEST Model!,2025-12-17,14127,0:28:18
63RA882htT8,GPT-5.1 Pro vs Gemini 3 Deep Think – Head-to-Head Testing!,2025-12-09,15176,0:27:46
ZKMR6LwVNak,Gemini 3 Pro Deep Think FULL Test – Hands-On With Google’s BEST Model!,2025-12-06,20781,0:23:31
eVw3D65RmPs,Google Antigravity Hands-On Testing – Agentic Coding With Gemini 3 Pro,2025-12-01,14428,0:20:15
L5OVLggmb4E,Gemini 3 Pro vs GPT-5.1 vs Grok 4.1 vs Sonnet 4.5 – The ULTIMATE Model Showdown!,2025-11-19,31864,0:36:14
f6unHliT7ss,Gemini 3.0 Pro Is HERE – Full Test Of The BEST AI Model Yet!,2025-11-18,19928,0:27:24
iEVqwcaYdck,Did Cursor Leak Gemini 3 Pro? - Hands-On With Maybe Gemini 3!,2025-11-18,6489,0:08:11
RMe1LNK_2vs,This Stealth Model MUST Be Gemini 3.0 OR GPT5.1 – Polaris Alpha First Test!,2025-11-08,11128,0:16:12
-qClMpXRu_s,Google Gemini 2.5 Computer Use Testing – The FASTEST Agent Yet?,2025-10-09,14233,0:18:26
h1XqUHUBTUg,Grok 4 Fast vs Gemini Flash-Lite Preview – Head-to-Head Testing!,2025-09-26,5778,0:24:09
OjQWY1_cjXM,GPT-5 Nano vs Claude Haiku vs Gemini Flash vs Grok Mini – Head-to-Head Testing!,2025-09-02,4250,0:25:54
PacISBqdD8I,Finally Testing Nano Banana - Real Photo Edits (Gemini 2.5 Flash Image),2025-09-01,3909,0:09:22
LXDbogSsd6I,GPT-5 Pro vs Claude 4.1 vs Grok 4 vs Gemini 2.5 Pro — Research & Reasoning Face-Off!,2025-08-22,14670,0:25:22
UOsmxNnrvps,Google Gemma 3 270M First Test - Is This The SMALLEST Usable LLM?,2025-08-15,22170,0:21:21
bAZhlpIXTc4,GPT-5 Pro vs Grok 4 Heavy vs Claude 4.1 Opus vs Gemini 2.5 Pro — Head-to-Head Testing!,2025-08-11,34058,0:37:59
zqKnqFQrBpg,GPT-5 Pro vs Gemini Deep Think — Head-to-Head Testing!,2025-08-08,35778,0:14:19
mGZFDyVCChI,Gemini Deep Think First Look & Coding Test (INSANE 3D Game Output),2025-08-01,13540,0:18:10
6gVvsv3Va3s,Magenta RT — Infinite Real-Time Music Gen by Google DeepMind (Full Demo),2025-06-23,7154,0:16:20
J7omabtqnBM,"Which LLM Codes The Best? (o3, Claude 4, Gemini 2.5, DeepSeek R1)",2025-05-30,7733,0:16:15
YBO35WCqzF8,Testing Google’s NEW Agentic Coding Tool (Jules Real-World Demo!),2025-05-21,15973,0:20:20
Xzr6aofq9hU,Google Gemma 3 4B LOCAL Image Testing (Ollama & Open WebUI),2025-03-13,17016,0:11:18
70iqdq7zysE,ChatGPT Pro vs. Gemini 2.0 (Python Game DEV Test),2024-12-15,4595,0:12:38
I7WsxFRvcl8,Google's AI On Top? NEW Experimental Gemini Model Python Test,2024-11-15,1552,0:08:05
B8JYNruqFpU,Python Testing Showdown: Gemini 1.5 Pro Vs GPT o1-Preview,2024-09-30,888,0:19:00
4URdAzWB-J0,Meet The Jetsons #aitechnology #nvidia #google #ai #machinelearning #iot #deeplearning #programming,2024-06-13,929,0:00:34
0mtoGKew89A,Mind-Blowing AI: GPT-4o & Gemini 1.5 Pro Finish Each Other’s Sentences!,2024-06-05,2004,0:07:25
JGUUA7kZJEk,Gemini & GPT4o speak. #diytech #gpt4o #geminipro #aichatbots #ai #raspberrypi #chatgpt #googlegemini,2024-06-02,1226,0:00:42
Vskh1TnVuk0,Vision Comparison: GPT-4o vs. Gemini 1.5 Pro - Ultimate AI Recognition Test,2024-05-17,2753,0:12:17
