video_id,title,published,view_count,hms_format
k-7j97T44Tw,Windows 11 Bloatware: What You NEED To Know (2026),2026-01-10,11154,0:26:22
UsRb13RVubE,Windows 11 Feature Eating Your System RAM and Slowing Your PC,2025-12-27,37658,0:08:10
MXfSjlohsoU,Why Are People Not Switching To Windows 11,2025-12-20,53667,0:16:13
HWacOYaOoX4,Microsoft Adds A Themes Hub To Windows 11,2025-12-18,4561,0:05:43
uRN_s6QYK8U,Don’t Want AI in Windows 11? Here’s How to Get Rid of It!,2025-12-11,22244,0:08:32
nphUCnjJc7U,This Windows 11 Install Changes Everything,2025-12-06,22170,0:24:16
mjMGBg4obhU,Windows 11 Security Feature You Should Use,2025-12-04,10500,0:11:12
1XhbEWuXQRQ,Do This After Installing Windows 11 LTSC,2025-12-03,7910,0:20:44
Eok5aHe5fpM,The Windows 11 Everyone Wanted,2025-12-02,18669,0:11:16
qregLa7ffDI,I Am Done With Windows 11,2025-12-01,31719,0:17:32
rygW2e0exf0,This FREE Tool Makes Windows 11 Better,2025-11-29,60875,0:18:46
kUqsdGb5BQg,Windows 11 Fix You Should Do Immediately,2025-11-28,29515,0:09:22
xAHb5FQg5ug,This is What's Wrong With Windows 11,2025-11-27,18244,0:16:31
_l5IUVGshJ8,Windows 11 Has Got Even Worse Now!,2025-11-25,42907,0:12:56
s3Zia5y16xE,Can’t Access Your NAS in Windows 11? Try This Fix!,2025-11-24,8561,0:15:08
sMYvOCpHv04,Boost Windows 11 Performance With One Setting,2025-11-24,13642,0:01:19
g7Yu2PXzG6w,Fix Windows 11 Corruption in 30 Seconds!,2025-11-21,19253,0:01:03
YKTRiSF-QOc,Microsoft Release New Tools To Fix Windows 11,2025-11-20,29718,0:08:38
5r6MaGCj4-4,Windows 11 Task Manager BUG FIX,2025-11-11,9778,0:08:07
h7yZrOjeN0E,Check TPM Version in Windows 10 and Windows 11,2025-11-09,10942,0:01:42
FnbRIg9JiCg,Things You MUST Turn Off in Windows 11 Immediately!,2025-11-08,17877,0:03:00
trb3rzg9ucg,Windows 11 Settings To Change Right Away,2025-11-04,23552,0:24:20
rpbvPJ08vC4,Stop Paying Too Much For Windows 11,2025-11-03,11010,0:08:34
ljxUw09SX1Y,Top 5 Reasons Windows 11 Failed to Deliver,2025-11-02,19388,0:14:09
_VXKJYMBEVU,Windows 11 Update Broke This Essential Feature,2025-11-01,31278,0:08:45
dUAUuF1Blsw,Windows 11 Killing Your SSD? My Longevity Secrets,2025-10-31,15776,0:15:13
IQMIgQkjvUw,💻 Turn Off OneDrive in Windows 11 | Stop Syncing Your Files Now!,2025-10-27,17753,0:08:04
fstkcrWbkuE,How to Install Windows 11 25H2 on a 10 Year Old PC,2025-10-22,4237,0:11:42
8A-fGCHsLbE,Uninstall Microsoft Edge From Windows 11 Safely,2025-10-11,40245,0:08:31
dob70AHz-QY,Setup Windows 11 Without a Microsoft Account - New Easy Methods!,2025-10-10,57794,0:17:40
zzo4vW6iKuk,Update to Windows 11 25H2 Right Now Using Enablement Package,2025-10-09,22194,0:07:48
