video_id,title,published,view_count,hms_format
QnDpKxNe5UA,OAC Opencode's Agent Control Framework,2026-02-01,28518,0:28:48
8toBNmRDO90,OpenCode setup: Beginner’s Crash course,2026-01-23,82214,0:18:28
VbxIj2ULoAs,Claude Code Subscriptions Broke OpenCode? Here's My Workflow,2026-01-14,11111,0:18:54
CYBbprV1eA0,What's going on with Claude Code and OpenCode?,2026-01-09,12959,0:10:37
G_Snfh2M41M,Oh My OpenCode Is Actually Insane,2026-01-01,81980,0:23:56
M0P_wzJPxMU,OpenCode Skills Feature - The Lazy Loading Game Changer,2025-12-27,40201,0:16:39
Wu3G1QwM81M,Opencode Plugins Tutorial: Build Custom AI Features,2025-12-23,9083,0:11:27
EtXqTMy0nZA,Breaking Down How OpenCode's Context Engine Really Works,2025-12-12,6011,0:16:35
G2-UqLIDq5E,OpenCode + GitHub: Easy Code Integration Tutorial! #shorts,2025-10-11,1821,0:00:32
N6hvJi9V2Tw,GitHub Code Fix: See OpenCode Solve Your Coding Problems! #shorts,2025-10-07,1526,0:00:46
zISK763f5mA,Unlock GitHub with OpenCode: Easy Integration Guide! #shorts,2025-10-02,1210,0:01:14
jFnrRTNwMLM,I Created CUSTOM AI Tools with THIS Simple Trick - Opencode Tools,2025-09-24,9616,0:09:51
U51bpRTAhnA,OpenCode Events: Unlock Endless Possibilities with SDK #shorts,2025-09-18,986,0:00:39
s_VopmTLg8s,OpenCode vs. Claude Code: Workflow Control Showdown #shorts,2025-09-16,5389,0:00:40
0pL5kHbXk2M,5 Steps to  to Revolutionize Your Workflow with OpenCode,2025-09-13,19259,0:15:04
lytWHktQNRA,Run Ollama with OpenCode: A Step-by-Step Guide #shorts,2025-09-10,5461,0:00:33
K3kN-2j_isc,Boost Your OpenCode Productivity with Simple Slash Command Tricks,2025-09-01,3154,0:13:23
-Zr2gI8R-Sk,How I Connected OpenCode to GitHub in 5 Minutes,2025-08-27,6030,0:05:58
gjTwJI7GF5A,OpenCode: The Ultimate FREE Terminal UI for Developers #shorts,2025-08-25,2121,0:02:39
kHGRjvprXAo,Which REIGNS SUPREME in OpenCode: Sonic or Claude Sonnet 4?,2025-08-25,1435,0:23:23
t5RALu8TbaU,OpenCode Plugins Beat Claude Code at THIS One Thing!,2025-08-20,5737,0:05:47
EOIzFMdmox8,15 Minutes to Fix Your AI Dev Workflow with OpenCode,2025-08-18,39129,0:14:30
RIvM-8Wg640,Easy OLLAMA Setup with OpenCode in MINUTES,2025-08-08,52431,0:07:31
KWo3lo5VipI,How I Set Up OpenCode In 5 Minutes!,2025-08-03,31257,0:04:53
