video_id,title,published,view_count,hms_format
283BKSVVB-M,New Qwen 3.6 27b Local + OpenCode Just Got DESTROYED?,2026-04-27,8214,0:16:15
aIY1pxmzlVQ,DEEPSEEK V4 + OPENCODE + SUPERPOWERS IS ABSOLUTELY INSANE,2026-04-24,10067,0:24:31
CfwSN1ro46I,Kimi 2.6 Code Preview + OpenCode is ABSOLUTELY INSANE,2026-04-14,11847,0:09:50
r34D3eviR18,OpenCode + Gemma 4 31b = Full Apps INSTANTLY (100% FREE),2026-04-11,16159,0:12:26
-38eEugIwok,OpenCode + Qwen 3.6 PRO + Skills Just Changed EVERYTHING,2026-04-08,11386,0:12:25
jodUEuPpess,Build Websites FREE with Qwen 3.6 & OpenCode! #shorts,2026-04-07,4041,0:01:39
q-Y96pp1rWE,OpenCode + Qwen 3.6 PRO = Full App INSTANTLY (100% FREE),2026-04-04,39425,0:14:22
ZJTHdQmhGSA,OpenCode + Qwen 3.6 PRO = INSANE Coding for FREE,2026-04-01,7906,0:06:08
VwMDTEWJF5M,Gemini 3.1 Pro + OpenCode Just Changed EVERYTHING,2026-02-21,6574,0:08:29
MfVAs46N9t0,OpenCode + Gemini 3 Flash is ABSOLUTELY INSANE (FREE),2026-02-19,5418,0:09:08
V4dtrm8bi7A,OPENCODE + GLM4.6 = MINDBLOWING CHEAP CODE,2025-10-08,5588,0:08:44
