video_id,title,published,view_count,hms_format
jdkrCbUBnDw,Automate ANYTHING with Claude! (Here's how...),2026-04-29,9637,0:38:41
4yEBOvtMr5o,Claude Live Artifacts just dropped... ALL your tools in one place!,2026-04-23,3501,0:09:40
OcX-1zh-FeI,Claude + Higgsfield: Build Beautiful ANIMATED Websites! (Claude Tutorial),2026-04-21,17786,0:05:26
D3pxbkPg0KE,Claude Routines Tutorial: Automate Anything with Claude Ai!,2026-04-20,27443,0:11:34
GnoJaaIHXWU,Claude + Heygen: INSANE Automated Videos! (easy tutorial),2026-04-19,34564,0:06:51
-o73ECZyjqk,23 INSANE Claude Code Skills... to build your SaaS! (from Gary Tan),2026-04-19,21064,0:06:17
1YAc1f4v-WU,Claude Design just dropped... (Everything you need to know!),2026-04-17,35518,0:08:16
9pniXngp8kk,FULL Claude Code Tutorial For Beginners in 2026! (FULL COURSE),2026-04-17,9561,0:30:00
3EWyQkaSIq0,Claude Opus 4.7 Just Dropped... (Everything you need to know),2026-04-16,4376,0:09:44
DoRQo3aGaPY,Claude Code + Obsidian is INSANE! (Claude Ai Tutorial),2026-04-16,94294,0:09:27
Xg55nTrbYYY,FULL Claude Tutorial For Beginners in 2026! (FULL COURSE),2026-04-13,583380,1:52:38
nH79dqiOEJ4,Claude Code Tutorial: 21 Essential Tips (Beginner to Pro!),2026-03-06,3274,0:27:17
10OABGkoxx4,Claude Code: I made $566/hour designing websites! (Claude Code Tutorial),2025-10-31,10379,1:05:04
QsjrBQK0lTg,How to Install Claude Code (for beginners),2025-07-28,117424,0:07:26
5br-7tLm598,"I Built a $16,500 App in UNDER 60 Minutes (Claude Code Tutorial)",2025-07-26,6643,0:59:06
