video_id,title,published,view_count
GXKO0zg1aCo,เจ็บจนพอ - WANYAi Feat. คิว Flure | นักผ,2025-06-14,15018697
fVNEt8qNjSI,มารักทำไมตอนนี้ - ฝ้าย Am Fine | นักผจญเ,2025-07-19,2794946
nA81CYkO7DI,รักเธอสุดหัวใจ - ก้อง สหรัถ & Benja Band,2025-06-07,2744394
eTfDYCHj3O8,ขอ (warm eyes) - LOMOSONIC | นักผจญเพลง ,2025-09-06,1012649
pxkKIdU1XOE,ใจกลางเมือง - LABANOON | นักผจญเพลง REPL,2025-06-21,828149
w-I9rglpo1I,ทิ้งรักลงแม่น้ำ - Y NOT 7 | นักผจญเพลง R,2025-04-19,827927
6CB5J0MjSws,ขาดความอบอุ่น - เสือใหญ่ | นักผจญเพลง RE,2025-07-12,710279
-aURrxfo0HI,เชือกวิเศษ - LABANOON | นักผจญเพลง REPLA,2025-06-21,198696
wziEXHAzL8s,ระหว่างเพื่อนกับแฟน - ขนมจีน กุลมาศ | นั,2025-07-19,193148
XKgRpOo_OpI,ผิดไหม - FAHRENHEIT | นักผจญเพลง REPLAY,2025-08-23,191787
