video_id,title,published,view_count,hms_format
xNx8qkE5vfc,VibeCoding with BridgeCode: The Next Level for OpenCode Users,2026-01-22,2447,0:00:31
BL84SGLHI7I,Why We Forked OpenCode: Building the BridgeCode VibeCoding Suite,2026-01-22,3324,0:00:31
gYfM6td8GqE,OpenCode: The Open Source Coding Agent You Need,2026-01-18,3488,0:00:52
exhBlqOsFak,Why OpenCode Is Exploding To 56k Stars: Vibe Coding Test,2026-01-17,3682,0:00:50
AJ6rrL1Gvs8,The Real Cost of Free AI: OpenCode Rate Limits Explained,2026-01-12,3889,0:00:46
Fs-IX3FxrA0,OpenCode Model Selection Guide: Accessing Moonshot AI and More,2026-01-10,1379,0:00:38
rA7Rb_sFzd8,One API Key for Every Coding Model? OpenCodeZen Explained,2026-01-10,2752,0:00:37
K9lU8l9NEgY,Vibe Coding: Testing Claude Code vs OpenCode Speed and Performance,2026-01-10,2267,0:00:37
ik7z_mtJ8Zc,Cheap Coding Models with One API Key: First Look at OpenCode Zen,2026-01-10,2137,0:00:36
4DBCUDVSH0g,Vibe Coding With Opencode,2026-01-09,29471,0:29:07
