video_id,title,published,view_count,hms_format
_BLcKahtIKA,"This Plugin Gives OpenCode Superpowers, Here's How...",2026-04-24,9386,0:09:15
772tEBPfutI,"Toad: One Interface for Every AI Coder (OpenCode, Claude, Cursor, More)",2026-04-21,3633,0:06:16
TO_uBWT5Dt4,OpenCode + Stitch = AMAZING Websites Insanely Fast,2026-04-08,2471,0:15:37
lfAKPQVSxDs,OpenCode Custom Agents,2026-03-16,1036,0:01:00
CCUV1YzVYzg,Google’s New Tool Makes OpenCode WAY More Useful,2026-03-15,10283,0:15:14
WQ6xcjB-tqU,OpenCode Agents in 16 Minutes & my best tips,2026-03-07,31211,0:16:31
oLttKbt-C1w,Free Models on OpenCode #ai #vibecoding,2026-02-19,308,0:00:48
-pu4WG21kNw,why choose OpenCode instead of Claude Code,2026-02-19,1076,0:00:23
brLPZ3-yXAc,OpenCode vs  Claude Code,2026-02-19,753,0:00:44
QzqaZshQcJI,OpenCode Tutorial for Beginners: Learn 90% Of OpenCode in Under 25 Minutes,2026-02-19,79158,0:24:04
