video_id,title,published,view_count,hms_format
K63JlIyHuR4,Google just took AI to the next level,2026-01-15,64132,0:01:00
us7rH-k5lXk,Apple just chose Google for their Siri Upgrade,2026-01-13,3973,0:01:49
ghXQyskZlMw,"Forward Future Live | 12.19.25 | Guests from Google, Deepmind, SemiAnalysis, and Robinhood",2025-12-20,4844,1:55:39
YzpHiVNE7Bw,"AI News: Gemini 3 Flash, GPT Image 1.5, NVIDIA Nemotron 3, Bernie Sanders DOOMER, and more!",2025-12-18,26007,0:12:31
gJLAWcuvzJk,Gemini 3 Flash is the Best Model Out?!,2025-12-18,51693,0:09:55
oBKADiJu0wo,Gemini 3 FLASH is insane,2025-12-17,28652,0:01:42
B_zYJkWf2SI,Gemini 3 Shook OpenAI To Its Core,2025-11-25,136441,0:22:48
MHMLi7M5GkI,Gemini 3 is nuts...,2025-11-22,75053,0:17:51
dtBvh1nIAM4,The Industry Reacts to Gemini 3...,2025-11-20,81790,0:12:47
263OKM18I1M,Gemini 3 is INSANELY GOOD,2025-11-18,162761,0:01:11
W8HeSP_JJQc,Gemini 3 is actually insane...,2025-11-18,105208,0:11:57
DWlNfDOV6V8,"AI News: Google's Suncatcher, OpenAI TEAR, Apple $1B Deal for Gemini, Vidu Q2, and more!",2025-11-07,43559,0:17:04
ifjblOmsss4,"AI News: Google's Quantum Breakthrough, Gemini 3 Rumors, Apple M5, Meta Layoffs, and more!",2025-10-23,83373,0:13:40
qx0tPXwHYYA,"AI News: ChatGPT Pulse, Gemini Robotics, Qwen3-Max, Stargate, OpenAI and Nvidia, and more!",2025-09-26,54158,0:15:59
UgNPfD-bZgU,"AI News: Meta Raybans, Gemini 3, World Labs, Grok 5, and more!",2025-09-18,63742,0:14:48
_IgOb7A8kg8,The Industry Reacts to Gemini 2.5 Flash Image (Nano Banana),2025-08-28,49349,0:09:45
6wmSRjpKwSw,"AI News: Claude for Chrome, Nano Banana, Meta Poaching Gone Wrong, Apple Using Gemini, and more!",2025-08-28,61003,0:17:52
-gPL9EA2pP8,Gemini 2.5 Flash Image is Insane... (Nano Banana Released!),2025-08-27,82513,0:18:31
hBEAF-pCkz4,"AI News: Macrohard, Comet Plus, Meta x Google, Sentient AI, and more!",2025-08-26,57788,0:20:05
3EQtzP92Z0U,"Logan Kilpatrick: Windsurf Acquisition, Gemini 3, Agentic Browsing, Veo 4, and more!",2025-07-21,29356,0:47:06
DJahmKqFSIM,"Perplexity CEO: Browser Wars, Taking on Google, White Collar Jobs and More!",2025-07-17,117367,0:49:55
KSptmoBtvMc,"AI News: Gemini 2.5 Flash, Midjourney Video, OpenAI vs Microsoft, and more!",2025-06-21,61125,0:14:26
mTaf31rJsbc,Asking the Google CEO if Search will change,2025-06-19,12753,0:01:07
-mYeDrbzvPc,Google CEO on AI Glasses 👓,2025-06-18,18932,0:00:49
xukk_-mzP6Q,Google just released the STABLE build of Gemini 2.5 (including a new model!),2025-06-18,88273,0:18:24
6SbvLMFlhNY,"Mistral Reasoning Model, Gemini 2.5 Update, FLUX.1 Kontext [Max], Meta's Spending Spree",2025-06-12,65532,0:11:38
