video_id,title,published,view_count,hms_format
5QQXbeYwIwU,GLM 5.2 vs Kimi K3: Which Open Source Model Wins?,2026-07-21,5749,0:42:06
lPP6iBRuzgA,Kimi K3 Is Here! (Better Than Opus 4.8?),2026-07-17,21883,0:36:06
1njjOIiA8Kc,I Made GPT 5.6 and Fable 5 Build the Same App (RAW RESULTS),2026-07-11,106710,0:26:26
rdqgMNjvhMY,GPT 5.6 Sol: No-Hype Full Review & Testing,2026-07-10,51290,0:40:04
ke3LJ6lpluI,Practicing Spanish with the new GPT-Live (it’s good),2026-07-09,3040,0:02:52
HhWwllcbc2g,Claude Fable 5 Just Built the Ultimate Agent Harness,2026-07-07,43670,0:19:21
2PH9f6yM8KI,Fable 5 Is BACK. And It Just Built This Mobile App,2026-07-03,41458,0:15:06
q4dqFC7hf1c,Fable 5 Is BACK And It Just One Shotted THIS,2026-07-02,22465,0:07:07
MosF8v77YTw,Claude Sonnet 5: No Hype Full Breakdown & Testing,2026-07-01,24683,0:22:53
JbW6a71DsDw,Is GLM 5.2 ACTUALLY Better Than Opus 4.8? (Full Breakdown),2026-06-30,2846,0:37:14
YD_XyZcXO6w,They're Banning The Best AI. Do This Now.,2026-06-27,10603,0:16:52
uPmy2ERmkVU,Claude Just Became A CRACKED Video Game Designer,2026-06-24,20429,0:20:26
0Pf5GSCjfj4,GPT Realtime 2 Can Now Run Your Entire Computer (Just Your Voice),2026-06-17,17548,0:19:17
TzJCly4YgDQ,I Made Opus 4.8 and Fable 5 Build the Same App (RAW RESULTS),2026-06-11,920133,0:21:12
B9fFEucPNnA,Claude Fable 5: No Hype Full Breakdown & Testing,2026-06-10,75625,0:10:14
xmNulT55Bak,Watch Opus 4.8 Clone a $1.2B App in 19 Minutes,2026-06-08,8761,0:19:11
9EiG26FMcZk,Codex Just Quietly Changed How People Work FOREVER (Role Specific Plugins),2026-06-05,20836,0:11:20
mjfQQYVUv8k,Did OpenAI Just Kill Every Website Builder? (Codex Sites),2026-06-03,7478,0:12:12
f6C5wvXjn5k,I Tried Claude's New Dynamic Workflows (Honest Results),2026-05-30,41433,0:12:49
M8JyCenl2-w,"Zero To Your First AI Agent In 10 Minutes (no code, no n8n)",2026-05-29,1504,0:10:18
C7nSfD8DHAI,"Claude Opus-4.8 Just Dropped, And...",2026-05-28,836,0:11:51
a8xPIfJpEOI,Codex + Paper = INCREDIBLE Designs,2026-05-27,3902,0:22:33
zwSZenzc6nc,Codex + Hyperframes = INCREDIBLE Motion Graphics,2026-05-21,3687,0:14:31
J8HplfBVpHk,How to Build AI Agents in 2026: Ultimate Beginner’s Guide,2026-05-19,2505,0:49:27
WF-hfYJhUWQ,The 7 Codex Plugins I Use Everyday (Just Copy Them),2026-05-08,3471,0:27:11
