video_id,title,published,view_count,hms_format
HkoRkNLWQzY,ComfyUI Course - Learn ComfyUI From Scratch | Full 5 Hour Course (Ep01),1/15/2026,561778,4:49:00
LDqD9Fp8J6g,"ComfyUI Nunchaku Tutorial: Install, Models, and Workflows Explained (Ep02)",1/21/2026,48195,0:24:15
1PjDwD3P67Y,ComfyUI Qwen VL3: Creating Prompts from Images and Text (Ep03),1/27/2026,57630,0:20:34
kNap0VWP1xs,AI Image Editing in ComfyUI: Flux 2 Klein (Ep04),2/10/2026,76861,0:28:08
BRHodz0_Uc4,How to Upscale Images in ComfyUI (Ep05),2/17/2026,63724,0:19:24
Z8JlJdXdVg4,ComfyUI Video Models: InfiniteTalk + Wan 2.2 + SCAIL + LTX-2 (Ep06),2/24/2026,72373,0:45:48
pZgaBQpjAhI,"Free AI voice in Comfy UI, Qwen3-TTS Clone Voice and Custom Voice Design (Ep07)",3/4/2026,31120,0:20:10
CloE39WpHg8,"ComfyUI for Image Manipulation: Remove BG, Combine Images, Adjust Colors (Ep08)",3/11/2026,38417,0:35:05
H63glyD3Tkw,FLUX.2 Klein 9B KV: Speed and Image Consistency in ComfyUI (Ep09),3/17/2026,57714,0:23:43
yUYB8p6zhoE,How to Use Fish Audio S2 Text to Speech in ComfyUI (Ep10),3/24/2026,15978,0:15:14
Lmxf8pK-H1k,I Went Full Mad Scientist in ComfyUI - Pixaroma Nodes (Ep11),4/1/2026,20630,0:20:48
oiiCkrX8hq4,Vibe Code Your First ComfyUI Custom Node Step by Step (Ep12),4/8/2026,14626,0:24:13
DnKM-Np0fFw,"ComfyUI Pixaroma Nodes Update 2: Better Composer, 3D Builder, Paint (Ep13)",4/16/2026,13436,0:30:54
XCgmEodQlIU,Ernie Model in ComfyUI - Worth It? + New Nodes Guide (Ep14),4/23/2026,17039,0:22:15
uszvBj1Uiwc,Make Images React to Music in ComfyUI + ACE-Step AI Music (Ep15),4/28/2026,9622,0:22:06
0l0qeLqS2wc,YouTube Sent Me This on My Birthday,5/3/2026,3025,0:01:00
IEH02ZQy0zY,Qwen 3.5 in ComfyUI + Align Tool & Pixaroma Nodes Updates (Ep16),5/7/2026,16803,0:18:27
dXH7Qx9pzyc,"ComfyUI Pixaroma Nodes: New Load Image, Notify & Utility Nodes (Ep17)",5/13/2026,10213,0:21:55
Q39L_gki2M0,Gemma 4 + New ComfyUI Nodes That Make Prompting Easy! (Ep18),5/21/2026,23947,0:30:08
Pzc569C3xUY,Stable Audio 3 in ComfyUI: Create AI Music and Sound Effects (Ep19),5/26/2026,14942,0:15:57
hX2Fl8GQqQw,ComfyUI Anima Base & Microsoft Lens + New Pause Image Node (Ep20),6/3/2026,13737,0:17:06
_M-IGh38UkM,ComfyUI XY Plot & Find/Replace Nodes + GitHub Suspended My Account (Ep21),6/9/2026,10753,0:16:26
Hg_XzAD4N28,ComfyUI Inpainting + Batch Load Images from a Folder (Ep22),6/18/2026,11742,0:20:23
GTC2FfZT7TE,"ComfyUI Scail 2 Video: WiFi Nodes, New Groups & Loops (Ep23)",6/25/2026,10251,0:27:54
r1D_6pcDbV8,ComfyUI Krea 2 Workflows for Better Text to Image Results (Ep24),7/1/2026,20593,0:18:35
Mjbl-ll-OSo,"ComfyUI INT8 Performance Boost! Boogu, Krea2 & Z-Image (Ep25)",7/9/2026,9325,0:21:45
